Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2026,11.785394750535485,10.466134281456473,12.061456006765365,16.076129591464998,12.988168676104397,11.844933908432726,11.92512665907853,10.353104399517187,10.565847320854667,10.79376977682114,9.242526473104954,10.833795234560965,12.210103470087047,11.199460991472002,12.476832666853443,12.097005089744924,11.135095933079716,11.46458721160889,10.465021464973692,9.366701285354791,11.208696496114136,12.232443857192997,13.42930064946413,12.572360521554952,13.771290022134774,15.797124791145327,8.570684379339223,12.477452939748769,13.805111944675446,10.133352807909255,15.300844246149065,14.800305044651035,11.0375663490966,10.63625679035904,9.792053326964378,10.128753903508187,10.342514592409135,13.082803484797472,11.884282949566844,10.802682134509093,10.736557453498252,11.229399320483209,10.8198692291975,10.74674799023196,17.086712741851805,5.805336101353172,13.125049442052841,11.179388974606985,10.567983422428378,11.538266843557361,11.223050811886793,11.526296988129623,12.814461446739731,14.62502316832543,11.807140004634862,11.886252200603488,10.939149441570041,9.519627231359484,11.227056981623168,8.309554319083688,10.627804651856419,8.889100247621535,9.625392270833256,8.761600076593458,10.554515619203446,10.673333379626273,11.16521863341331,12.507868803665037,14.247084558010105,11.649259589181753,10.114509785175327,9.185388635098931,10.407874746527535,11.70830783247948,10.177078267931934,10.784579582512386,10.658574255183341,10.423604013375009,14.788238430023194,11.117043405771254,11.94050390198827,10.378730762749907,11.719949324429038,9.507691342988986,16.98673980236054,9.211230098083615,10.114875727891924,11.805256281793119,9.996723566949372,11.244595015048985,11.915810823440546,10.331459557265045,12.831544595956805,12.050938344001773,11.696731573343273,9.605628567934037,13.664388835430142,9.974711533635851,13.053277793526652,11.224551173672078,12.920409229397773,11.608560399524873,10.138410573266446,10.605471710860732,10.187008446455007,11.767138308286667,11.001228798925876,9.652546811848882,10.599121539294718,9.494758868217469,9.293135406076905,10.69355257079005,10.074704901129008,13.545435905456543,8.135021486878397,7.9165951164439345,15.72472916841507,13.146982395648953,12.417815577983863,13.639407581090927,11.238035392761233,10.254676258564,11.725905133783819,11.704468783736228,10.874168485403066,9.804248657077549,11.104157460946592,11.716886305809023,10.901356249302625,10.012327668070792,10.89639142379165,12.503364467620854,11.889101621229198,9.815351997315881,11.553033652529123,10.34136104285717,9.916808995604509,13.373273167014128,14.73041690587998,11.560363370180134,11.559660348296166,9.812978353351347,9.631199928652494,12.490787474997344,11.369072043895722,7.476511627435687,13.120306190010163,10.169666179269555,12.957690933346754,9.293086263909935,9.434941613674164,11.991342967748647,13.469524791836744,10.73779755532742,11.522741732001304,11.893465811014176,10.023635171726347,10.79660940468312,9.322407527267934,12.5463733619079,13.07288229763508,11.255505925416946,11.959977417066698,11.264775843918319,12.528332362882798,9.357169377803803,11.020987072587017
2027,8.67976928278804,7.4096904814243345,9.735800716280938,12.711307770013814,9.596883964538575,8.990493224095555,8.559936742484572,8.036852244287731,7.260812947154044,8.29918856881559,5.158850248157982,8.551370349153878,10.103832919895648,8.588271884620184,9.13562195003033,8.654176953434948,8.948127629794184,9.345176097750663,8.15176605805755,5.903816962242128,7.894800886511805,9.682056507468227,9.8035451233387,10.477323001623157,11.580476731061937,12.104555416852236,6.314701273292302,10.22105855611153,11.734160304069523,7.8288202583789825,11.959716007113453,11.718345011770733,7.825336141884327,8.337331993877891,5.741643536835907,6.702574072964481,7.988623088598251,9.474139316938818,9.30754004046321,8.595286947768178,7.870142358541491,7.937099096179006,8.516996358335021,8.512805876135825,14.566764354705816,3.3768491497263313,10.874778854846955,8.899321084097028,8.108649191260337,7.77753176987171,7.6715726859867575,7.824083733186129,9.428627216815949,10.537386456131932,9.710726822912694,9.127964739501476,8.51632405221462,5.5660059789195655,8.586168135702604,6.014174507744611,7.605718496441841,6.579796570539476,6.326759934425354,5.264930787682535,6.611094999313357,8.284609024226672,8.908880038745698,9.190154603123665,12.123277187347409,8.663103699684147,7.737492856383325,6.874391423165799,7.921247094869608,9.57959051132202,6.967925454303623,7.501729807257652,8.230826501548297,7.7660368107259306,10.974679864197972,9.037299830280244,9.232809996604917,8.025793538987637,9.003274453990162,7.293584923446178,14.328058898448944,6.79904647320509,7.635653832927349,9.254184663295746,7.451319971680642,9.013141040503982,9.828913912177086,7.848045156151062,9.201151137053962,9.901197429001334,8.374765694141384,6.992873130738735,10.506747796386481,7.667724304646254,9.790741991996763,8.676337932050227,10.517528187017891,8.23719491511583,7.804637224972247,7.783357030153274,7.783058822154996,8.187655602395541,7.244519667327403,7.086331420205534,8.310439522564412,7.1237882807850825,5.419879036583005,8.197701394557955,6.816476577520371,11.217908233404161,5.871045874804255,4.491335666552186,12.256251244246961,10.681081368122252,10.466966807842251,10.40859998986125,7.610923019796613,7.888784751296043,9.066518756747246,8.063152666017416,8.475299344956877,7.206080311536789,8.682051795721051,8.668410374224184,8.612238869816066,6.815626464784144,8.59310493096709,10.206583839282398,8.581898450851442,6.491643577814098,8.336262581683695,6.900253688916569,7.493925311788914,10.972103261947636,12.6621480345726,9.5314728051424,9.273819172009826,7.321971831470734,7.220680333673952,9.03971377909184,8.079760951921347,4.974200845230371,9.737723368406296,6.846637812256811,9.677029819414026,6.016632208228107,6.095611570030451,10.006948053836824,10.187465907633305,7.276093000173565,9.147780908644199,9.672311459481719,7.495251663029194,8.42850835174322,7.017677720636127,9.199950763583178,9.709583984687928,7.626068677566947,8.62121456861496,8.772506502270701,9.87630501389504,7.247184339165687,7.699787054210901
2028,8.154192090034488,6.901404453814031,9.79136850982905,12.571634030342107,9.288439922034744,8.887636026740081,8.349500915408136,7.512492128834131,6.647046468406911,7.8594630742911304,4.294841413199899,8.287893971800807,10.160365758463737,8.116161891072986,8.792621450126171,8.431083086878058,8.72157043386251,9.046158778667449,7.931112574785951,5.249751699715853,7.667834413331005,9.341647297143938,9.592913519777357,10.542073239386085,11.515102551877494,11.675718171894554,5.798896167427304,10.299294220190498,11.58080985229463,7.595159460231665,11.81568956971169,11.313939543627205,7.559583740308881,8.108561936765913,4.91296848133206,6.458955471962691,7.502471150085329,9.059249725937843,8.873827801644799,8.352120065689089,7.910013634711499,7.688500960171223,8.32718751728535,8.029932923614979,14.603399741649628,2.7941317239776264,10.675520635768768,8.69840522110462,7.866149751842023,7.0391628671204645,7.475149956345558,7.038089381530883,9.211304959654807,10.477426518313592,9.716250325739388,8.51425995901227,8.559544155001635,4.7426021337509185,8.648502002656453,5.511344332434239,7.571063187345866,6.093429569900039,5.68066068738699,4.582398515939712,5.82780291438102,8.075967419520019,8.67166788354516,8.971424645930531,11.982085106521847,8.387996726296844,7.412631821259858,6.337928128987554,7.726852368190888,9.236926863342529,6.831219641119238,6.91012592106126,8.172219762206073,7.9502786665223555,10.525253611803059,8.759271989925765,9.14497990608215,7.553846432268612,8.567997270822527,6.798615171015266,14.34838898181916,6.542452467605472,7.3707464594394,8.799932934110988,7.211498146411029,8.675834296643735,9.493519324064257,8.0121287509799,8.82857186794281,9.914018965512515,8.167359780706459,6.541281961649657,10.156872612424198,7.137609188351777,9.576542824506763,8.826022781431673,10.510135710821483,8.038828969001775,7.290792075544599,7.746937770396474,7.314507570117715,7.948190490901473,6.477780821919447,6.871064692444636,7.831463653966788,6.572763756662608,4.622265643347055,8.364404971152544,6.20750842690468,11.0766834495269,5.331222177250314,3.712047580629592,12.15595096349716,10.57908212468028,10.427183317951854,10.093795433640484,7.315570355020464,7.601073171198374,9.070762437582019,7.324173467606309,8.567159757018093,7.2617270700633565,8.209637171030042,8.16866024611518,8.400105252861977,6.2105744712054705,8.21681249439717,10.308323829341685,8.358361559361224,5.8433750104159135,7.7701150584966,6.665561410039669,7.237699058558794,10.823729060962794,12.501763248443607,9.257167255878453,9.323864724300805,7.072512028366333,7.002889934182167,8.794649897515768,7.503403153270483,4.3703623527661,9.49373119771481,6.212238362058999,9.400447653234005,5.372781145572658,5.386188334226613,9.768247636035085,9.971842792630197,7.0581347718834895,9.230161027610308,9.71061474084854,7.291722393780951,7.905978490412238,6.514255982264871,9.001831889152525,9.516565456986434,7.375637274980536,8.40703629776835,8.921691375970841,9.74998683333397,6.719965475797656,7.127136635035276
2029,11.305518173053857,10.10567188467831,12.934737208485611,16.102569043636322,13.540112600848087,12.458896353095767,12.558038232987748,10.623720600456007,9.993828148394822,11.16852652914822,8.588914220035083,10.952317699789994,13.027334815263753,11.219861293723806,13.198635327722874,12.741142600774758,11.347416328638793,11.562419652938846,10.632771763205527,8.735847943648697,11.954153479635718,12.178567039966591,13.86291299416917,13.309952533245081,14.332389092445377,15.748197889328011,8.855159994959836,13.291992777585984,14.260217118263245,10.266221752762798,15.403948998451238,15.402213531732556,11.727775448560717,10.835474572703237,9.091142339259388,10.918634119629855,10.525063794106245,13.29644498825073,11.747940433025363,10.966290308535111,11.52084161043167,11.812207619100809,11.055411930382256,11.052278801053763,16.93353657722474,6.273455123603339,13.730534702539448,11.397305572405461,10.669196461699904,10.897308817133311,11.80547873629257,11.034369773126674,13.410454486683008,14.557019558921459,12.600706243515011,11.797913700342175,11.634576456807554,8.83330013044179,11.97237851135433,8.597796913795175,11.415071099670605,9.1428139846772,9.012290254677646,8.089153741300098,9.809554579481489,10.864190952479841,11.39580077975988,13.171204866841439,14.694081604480749,12.235918989218773,10.221693669259551,9.402230539172884,10.790748826460918,11.783179724216463,10.956513523869216,10.22252782974392,11.17147632092237,11.363428525626663,13.962924468517306,11.26247855424881,12.557818424329172,10.620106041105464,11.505391311645512,9.796585844457157,16.820999598503114,9.283803497999912,10.242713174223898,11.867739822715524,10.128654161840675,11.32310047447682,11.982621395587921,11.247262454777957,13.250685984734442,12.89127592742443,12.427901321649546,9.910305000841609,14.333519461750981,10.218589638918639,13.646144844545052,12.151314917020507,13.599091556668279,12.334219446778295,10.356481057405471,11.392202831804756,10.356617322564128,12.343169622123241,10.425064226984983,9.788570113293826,10.838983963057402,9.757147896615795,8.574140491290024,11.544757210463292,9.52094369120896,14.077989196777347,8.441709480434659,7.708784867823125,15.811042076349253,13.667140404880048,13.177140253782275,14.190933632850644,11.979012067615985,10.405436088144778,12.385284123569726,11.064588941633705,11.758506195992226,10.678754516504705,11.44354900345206,11.32203697435325,11.060202694498006,9.679475048929453,11.074950643256308,13.29952075183392,12.562531889975075,9.181942344177518,11.015945564210412,11.081934034824371,10.02906005829573,13.887854209542272,15.166432785987856,11.730271440744405,12.392295697331427,9.936530841886988,9.74662799330836,13.090271967276934,10.853235320746899,7.772681215964264,13.735825342114552,9.575910570099948,13.575951448082922,8.67745145447552,9.143995373882351,12.18210189938545,13.891152118146417,11.4717198709026,12.444465691040389,12.78841251134872,10.248131737485533,11.017489663977171,9.549445719877266,13.192378197610372,13.53735511153937,11.890787292644385,12.598868104442953,12.134734556637703,13.14491628929973,9.744189763814214,10.525314356386652
2030,10.686527016758916,9.391809974145144,11.628619588911532,13.347507995367048,11.060958119481802,10.49781892746687,10.071339599043133,9.043655835092073,9.34322188906372,9.320419650897387,6.465676274895671,10.18800645843148,11.827207189798356,9.511229437589645,10.667816787958149,10.214764589816328,10.506834476056977,10.886606991291048,9.804769896855586,7.737021746300161,9.431622971827165,11.693941974639898,10.951383597403769,12.164190977811815,12.954550677537918,13.354555028676984,7.306635151803491,12.00064789056778,12.882040876150132,9.449409471824765,12.583016362786294,13.267947220802313,9.346076306328182,9.96990195224062,7.06656226308551,8.310183786600833,9.051905942987649,10.83371599465609,11.106050549447541,10.190667440742255,9.715736955776812,9.397140398062762,10.183846069127323,9.50480981376022,14.99086453914642,4.395644934475426,12.158082807064059,10.509879502654076,9.848952533304692,9.111297431285493,9.23853607475758,9.18029146678746,10.908433692902333,11.171187426149846,11.439443334937097,10.309858250617975,10.412677951157093,6.858153888583189,10.345687434077266,6.994692352658603,9.35962713509798,7.566418213397265,8.358824664261183,7.1330526165664185,7.913121588528154,9.956329506635665,10.51483576204628,10.61623917669058,13.395527082681658,9.966737480089066,9.110080268234015,7.861836173851046,9.70060496106744,11.142007499933245,8.649482555501164,9.557077196985484,10.041040648519994,9.834607179835439,11.825194370746612,10.573930960893634,10.67988012582064,9.010714421235026,10.860616759210828,8.288054427132014,14.755203473567963,8.474693514406681,9.406272946298127,10.207924379408363,9.24602241143584,10.638059830665588,11.348736959695817,9.806879940629008,10.671237272024154,11.674259805679322,9.870529837626966,8.13424360901118,12.002396050095559,8.681137134507301,11.175447963923219,10.696171172894541,12.073298372328281,9.754095473559575,8.797157885879281,9.567498615384093,8.849316113069653,9.735482571646575,8.579600827395911,8.893945329263808,9.284151219017808,8.139391357416756,6.791587200667712,10.158496124297377,8.856604676134882,12.44671045988798,6.854791103489693,5.765808107703924,12.87275716662407,12.005219206959014,12.102525198459624,11.893595346063378,9.23135242313147,9.404519548639652,10.620088954642423,9.357580708712339,10.420366516336802,9.089401004835967,9.758088123472408,10.676615387201313,10.220454192906617,8.236713091097768,9.92016528174281,12.046669383347032,10.016633674502375,8.530030643381178,10.402263082563875,8.46619684249163,9.21250095292926,12.272634655982255,13.880177688598632,11.019919526577,11.126771159842614,9.097714877873655,8.902701254375282,10.592992008849976,10.182152929902077,6.046326035261157,11.174726998060946,8.92233830504119,11.223553340882061,8.03914011828601,7.27157288724557,11.43746784329414,11.378430091589689,8.864016399905092,11.072974267601962,11.502423710376025,9.257675765105517,9.41837520652916,7.9959724083542865,10.649134138226511,10.825564565509563,9.242702690511939,10.003713756054644,10.738229797780512,11.307231668941677,8.24621450956911,9.80318085551262
2031,10.341838145256045,9.097080460190778,12.176573714613912,15.937706452608106,12.852463712543255,12.417585500190032,11.954004968330263,10.211206677556033,8.943001495301719,10.523250167258087,7.818092815205452,10.2112766109407,12.357993656396866,10.866702249646181,12.580719911679626,12.167256235331292,10.512035231199116,10.941582581400873,9.79968837872148,7.878637508396061,11.348108033090833,11.736238038539888,13.312081262469297,12.688589572906494,14.21797696352005,15.1237923681736,8.447286472097044,12.615388734638696,14.29595667719841,9.47631882866845,15.176836287975311,14.925441241264341,11.224355433136221,9.961151443421837,8.369666181504725,10.30959317833185,10.097979896888145,12.68695537820459,10.991141563653951,10.201282703876497,10.773804264049982,11.199868453852833,10.261226347088813,10.640161945670851,16.71108567714691,5.634333646297458,13.69968527853489,10.657708948105572,9.84737681299448,10.36476465314627,11.249383711814879,10.35895720422268,12.769855051487685,14.371920791268352,11.934563833475119,11.360812020301818,10.854429194331178,8.15938281491399,11.534535680711272,8.134738036990159,10.674236919730905,8.728295601904396,7.951559866592288,7.2034767616540165,9.188097237050536,9.946578682959078,10.52219873033464,12.463893283158546,14.534277224540716,11.587516249343755,9.609516124427321,9.041739973984663,9.79513626992702,11.201816213130947,10.290259156748654,9.170743089914323,10.276835776865482,10.446136734541504,14.020394074916842,10.608746179938315,12.523747170716522,10.135052757710216,10.692613442987204,9.395948380604384,16.534447073936466,8.471020433306702,9.412723148986696,11.536087405681611,9.244313277490438,10.678969788551338,11.427380859851835,10.374937191186472,12.63011271655559,12.176041269302372,11.764667487144473,9.450965497642756,13.768388400971892,9.844817649200559,12.975697505474093,11.295638508722185,13.29081412628293,11.619348959624775,9.971422555670141,10.741995200235399,9.925963765755299,11.703006487526002,9.806778344511992,8.88504599072039,10.39853191748262,9.325733479112388,7.970046453876423,10.738242940630874,8.477167022228242,13.98395311534405,8.003103848546747,6.979649229347705,15.577482414245608,13.691957747191186,12.575864356756213,13.634672106616199,11.310078188776973,9.658583710715178,11.971765175461776,10.568242077529437,10.990342179685827,9.961280848458404,10.984604988992213,10.425196602940558,10.229442854225642,9.013855341076848,10.48712190538645,12.60618359148502,11.886164466291666,8.104081112518907,10.051521074026823,10.41366295590996,9.216884740442037,13.910883006453517,15.26096428632737,11.071282729506498,11.634733656793838,9.103105328604585,8.909173215739425,12.508980966545645,9.790048687276428,7.20239633207675,12.99240635968744,8.510530067794031,13.066306988801813,7.6511801165528635,8.519536068802697,11.488889342546457,13.403594256192445,10.800051264837379,11.642502216994764,12.04201809465886,9.22504860349,10.571420343220236,9.103602742077786,12.54432821944356,13.030012859776614,11.273196187615401,11.963000456988812,11.324169330112637,13.114294901490215,9.310359176248314,9.362205203622583
2032,10.193022616393868,8.97074906602502,11.75843356475234,14.652323347330093,11.956564075757342,11.645873943623162,11.025872286316003,9.523098296485845,8.84111962765455,9.875019704923034,6.855104500800367,10.04253531219437,11.927089765667915,10.187693541124471,11.637651924695817,11.15790832042694,10.385235888883468,10.737829047441481,9.673558111488827,7.490967330336571,10.419898457080127,11.42435000613332,12.18727871105075,12.26089290380478,13.605202054977422,14.261562794446954,7.803985776752232,12.145694907754663,13.686855918169025,9.31472050361335,13.97178280949592,14.057980483770375,10.25293581858278,9.836254366487262,7.414433044940232,9.32156293578446,9.467737385258074,11.776335981488229,10.809699559211726,10.05643446482718,10.146670557558544,10.288271666690711,10.054194336012008,10.003655407577762,15.945171618461615,4.977603304386134,13.07701371908189,10.408892002794891,9.684336495772007,9.502100674435496,10.238752366974953,9.589053557440637,11.827878384292129,12.890182622522124,11.556195154786113,10.723339710384604,10.45132317915559,7.236672095209366,10.928711660509006,7.491112475097185,9.962870640307667,8.07620069459081,7.85228509306908,6.8626398324966384,8.27007504180074,9.812580015696591,10.385476943850517,11.578261256916447,13.994727683067321,10.793522026389837,9.206114353938034,8.348531249910588,9.613237319141628,10.978383940458299,9.451515712589025,9.049902051314712,10.00811758413911,9.96723108440638,13.039449691772466,10.432859966158869,11.778157572634518,9.484048597514633,10.522898280620579,8.775807912088933,15.770669353008278,8.309228230221187,9.248533768486224,10.85441050752997,9.087125665880743,10.468434672057622,11.192834635078913,9.928130723070357,11.655619217455385,11.773417384922501,10.863475544005636,8.726483286544683,12.877690228819848,9.163353532180196,12.092000547278442,10.806228760629889,12.689226401504127,10.761642726510766,9.273947413079444,10.019071506708862,9.262509050220254,10.728117621503772,8.966161272116004,8.737823768472296,9.764401315292341,8.648068132251506,7.1159605368971794,10.29043555855751,8.35873786509037,13.373079264163971,7.355691701918848,6.204543133079999,14.324468523263928,12.984780630096793,12.20604096055031,12.747697111964225,10.305388902872803,9.395698259957133,11.308159532397989,9.737807318009432,10.51523331246863,9.358376396819951,10.27800556570292,10.250479041039947,10.084438458457594,8.383748570084578,10.063101682160049,12.156496986746788,11.008259891718627,7.999619123339653,9.901083702966577,9.48966370336712,9.054286264046096,13.220129840075973,14.633700966835018,10.887819623947145,11.23101036995649,8.94466073997319,8.755717300996185,11.521581103187057,9.677219312358648,6.566391773521896,12.097414029389622,8.41859398186207,12.087974044680598,7.5303913600742804,7.673158393800264,11.323450912535186,12.388126283884045,9.884004305396234,11.18303923401981,11.597813087597025,9.108880442380912,9.89641390792094,8.484225699305535,11.625915476959198,11.972216494381433,10.246944219619039,11.019141864404084,10.84938921928406,12.388420630246406,8.737697814963761,9.245691940980029
2033,11.489236721396452,10.311779591441157,13.115420399606226,16.492640316486362,13.50979612469673,12.999567613005635,12.525103107094761,11.55160712003708,10.22016610354185,11.918224263191215,9.672898343950504,11.147197354212402,13.228686502575869,12.035808452963835,13.053503811359402,12.72765273451805,11.42769260071218,11.755968835949895,10.794398382306104,9.220677289366723,11.847018074989327,12.091370242834097,13.978842121362693,13.534326136112218,14.666629207134246,15.818241125345235,9.753192135691645,13.526969978213316,14.587421232461935,10.460556393861776,15.80467640757561,15.212990918755526,11.769797962903972,10.960167914628983,10.140902823209766,10.811737477779388,11.390492761135095,13.418700729310515,11.935437273979193,11.138687051367018,11.626221436262133,11.925784772634504,11.26487770974636,11.912814989686012,17.567645645141614,7.149934159219266,14.032624813914296,11.641666444204752,10.85250394642353,11.989295609295372,11.879412072896956,12.025820625573399,13.385021853446958,15.12813340425492,12.744457173347481,12.58515003100038,11.845114986598505,9.890850707143539,12.33306176960468,9.498553698137405,11.453759229183197,10.099193704128261,9.243378047319124,8.592604665923862,10.85450284183025,10.997595816850662,11.44253941550851,13.079541391134265,14.986910688877106,12.425529366731647,10.765718382596964,10.36344765126705,10.869858774542811,11.98423175215721,10.92768905460835,10.435654108226304,11.315098920464512,11.543553772568707,14.714035224914554,11.473649801313881,13.04581573009491,11.535754817724225,11.700765994191169,10.64256235957145,17.4580096244812,9.476004301290962,10.432951000332832,12.723524871468545,10.29976111352444,11.538881373405456,12.172451692819598,11.401961761713029,13.24397834539414,13.05700215399265,12.326674634218213,10.723852109909057,14.155439491197464,11.119176143407824,13.617653438448912,12.365146851539617,13.939913519471895,12.208201283216486,11.297376418113707,11.539080509543414,11.248759460449222,12.383153077960017,11.454778102040294,9.955679006874565,11.729861372709276,10.64030028581619,9.582483072578912,11.767684316635135,9.74528101794422,14.425937023758891,9.323709005862476,8.620413903892045,16.212252816557886,14.102948651090262,13.33243083953858,14.127548249065876,11.876328401267525,10.732524925470353,12.704237198829649,12.105505688488481,11.956249123066662,10.840751096606247,12.221578562259673,11.5541420634836,11.20793332010508,10.429364442825321,11.609428218007091,13.516206350922587,12.482116967439651,9.429375089704996,11.241788268368692,10.973566389083862,10.212326446175572,14.300203704833985,15.477695858478551,11.865352699160578,12.574820838496086,10.129303275048732,9.928283555153753,13.08838049173355,11.066149317473174,8.56589761879295,13.650578814744946,9.802286666631698,13.516876376420266,8.930716266855597,10.125682514905922,12.263650506734844,13.991659595072273,11.363905543088913,12.605891410261394,12.981569547951224,10.37050154432654,11.923942172527312,10.462868195772172,13.170596641302106,13.629363280534738,11.904228824377055,12.543951636552814,12.332237245142458,13.613345310091969,10.453642058372495,10.671378781646498
2034,12.325011418759823,11.273332014679912,13.093234121054417,16.32420437335968,13.370930542051791,13.48571196496487,12.46220639795065,11.221981400251387,11.220418036729098,11.561676165461542,9.275554765015837,11.932768447697157,13.203805352188644,11.751414956897493,13.099697543680666,12.652696630358696,12.18502223044634,12.446966600604357,11.630193816311662,9.77669552713633,11.857196762040264,13.236641871929177,13.864449234679347,13.472868955135345,14.97644863128662,15.59198489189148,9.45499409884215,13.508290787041185,14.996414792537687,11.259472084417942,15.699740433692932,15.296453189849853,11.740966759808362,11.78845615820028,9.723325443267825,10.82005859166384,11.183718326687814,13.255445303022862,12.685495144128799,11.938245850801474,11.554649753868581,11.791536910831931,12.015664397925136,11.6365337908268,17.29165905714035,6.858562864188572,14.513054376840595,12.264981985092172,11.681837940216063,11.61706546619535,11.791796913743028,11.756362722441551,13.26879747360945,14.898499490320688,12.775062279775735,12.397496068477635,11.922098962962634,9.504466146230694,12.507900861650707,9.189585535973308,11.399421438574795,9.815591729432342,10.270740225911144,9.212311229109764,10.451022019237286,11.845690938830382,12.200283762067562,13.003865503519773,15.385916948318481,12.271956962347032,11.08422701731324,10.031574394181375,11.542393383383756,12.637725315988058,10.903577106446031,11.388637526519597,11.745883612334737,11.445330534875401,14.384707593917856,12.210594704747201,13.526167589426043,11.184882384538648,12.490117464214569,10.379525594413279,17.18966984748841,10.313086900115016,11.288126017898326,12.451242351159454,11.184807193279266,12.25434997528792,12.79541687071323,11.351045116782188,13.166466781497004,13.074494169652462,12.299423484317959,10.480009202659128,14.205262678861612,10.819041389226909,13.487678188085562,12.287669127061966,14.195477443933488,12.177103934623306,10.95669972002507,11.479746276885276,11.005605316162104,12.261142726987606,11.113711331970988,10.85968203246593,11.41511057242751,10.31561787277461,9.284737694263459,11.678425187990076,10.742342932522302,14.783631151914596,9.022837636061015,8.321993885189302,16.066172957420346,14.555945220589635,13.367776310443876,14.071178789436814,11.884836206957695,11.319269201904536,12.848277786420658,11.759230960160497,11.906998647749425,10.790415912121532,11.934198961034419,12.425962115079162,12.011483419686556,10.46678289622068,11.866473489254714,13.476449777185923,12.438588423281914,10.445060643553733,12.139599803090091,10.98292504251003,11.059643819183117,14.75767241716385,15.883507668972015,12.549426412582399,12.560955222696068,11.00575355887413,10.77914859950543,13.000957426428798,12.043304830789562,8.326134395599365,13.515115084499126,10.833368312567474,13.508375217020514,9.933005172014237,9.735824362933641,12.910847902297977,13.857931384444234,11.361226048320528,12.591607231646773,12.975866613537075,11.2861900344491,11.598217410594225,10.14552127197385,13.071638014912613,13.53691023141146,11.818643112480641,12.481122054159641,12.258477626740934,14.12556933630258,10.27441879548132,11.629151707887646
2035,11.791614669561383,10.662806299887595,13.076461619138716,15.626534688472749,13.125796150416145,13.031445008516306,12.110578026995068,11.20192772205919,10.56632324876264,11.506353157479321,8.780147264152768,11.504159530997274,13.20287684202194,11.427177409827713,12.756043368205434,12.315565261244775,11.790072838962079,12.064219503104685,11.187443053908646,9.205608391761782,11.459495238959793,12.85093408226966,13.316235808283096,13.50749759376049,14.711051481962198,15.06555891036987,9.385637106001374,13.505407097050925,14.65566885471344,10.838119898224246,14.90108144283295,15.06105748414993,11.397265912592419,11.342638470651583,9.30734749510884,10.418410354852679,11.118361861258748,12.762717220187195,12.190677442029115,11.49553515017033,11.481186759471896,11.496805115044115,11.603245291113852,11.576792757213113,16.864646625518798,6.748043817281721,14.10330137014389,11.938667789101597,11.244946423918007,11.208407103084026,11.405551654100421,11.217099528759714,12.965640421956783,13.947423028945929,12.7397192299366,12.126611572504046,11.911017318069938,9.058195724338297,12.340783659368753,9.136579295061534,11.235134071111679,9.746899903565646,9.616991577297448,8.619914657715713,10.058216968178751,11.408165346831087,11.809790393710134,12.66794445514679,15.18333465456963,12.006974146142602,10.86193585880101,9.992553487420082,11.203632849454875,12.270331898331639,10.615324485301972,10.791195325553414,11.537230303511022,11.515053327102214,13.392622238397601,11.789004911016672,13.078965308889746,11.162043996900321,11.977174341678621,10.316264170873907,16.728253674507144,9.874182942509654,10.829271916300062,12.16430358886719,10.71555258333684,11.844209566526118,12.461763563752173,11.402138360776007,12.70082140737213,13.04202757999301,11.910800223052503,10.36123318225145,13.927591216564178,10.78307333551347,13.19322914853692,12.32813903614879,13.981006553769117,11.7924070969224,10.935016843490306,11.358845347166056,10.97019849601202,11.91877112463117,10.665860883146529,10.388160564005373,11.37155186459422,10.289127939566967,8.853591020405293,11.750599298719319,10.085625335574147,14.417122666537756,8.95829041786492,7.931678384169935,15.266048359870911,14.176706476509574,13.3185591340065,13.824681562185287,11.497226729989052,10.975111284106971,12.597026020288467,11.365474738180641,11.941573379980406,10.750633613765242,11.878893081843845,11.859015628695488,11.599270264059301,10.139505141973494,11.651617624610667,13.487942934781307,12.06353293210268,9.825322646647697,11.550384658575059,10.563367943465718,10.606195638328785,14.38730243593454,15.530547606945046,12.167925485968592,12.560260970890523,10.53642915487289,10.338028807938098,12.683982296846814,11.40195228904486,8.156173697300265,13.242979400604963,10.162451097369193,13.202544865012175,9.277032355964188,9.474746665358543,12.577453571558,13.467945948243145,10.963545178622008,12.585136879980569,12.963717109709984,10.805096779018639,11.576851917803284,10.088752166926863,12.715766046941285,13.003923134505754,11.461918170750138,12.091187579929828,12.309826539456845,13.688863195478916,10.187720739096395,11.048413614928718
