Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2026,15.290309679508216,16.395791399478917,17.665316879749305,18.773046231269838,16.806203359365462,17.90278711766005,17.388933348655705,16.168895941972732,16.107990294694897,16.756591129302983,15.535453695058823,17.41616083979607,16.731728124618535,16.10363537669182,17.149881041049962,17.650746113061906,16.69318969845772,16.517346608638764,17.23459720611573,15.04502167105675,16.54515912532807,15.196640276908877,18.717718899250038,16.67093657255173,17.765541160106665,18.558989393711084,14.905823928117758,17.49149448275566,17.189447951316836,17.252543640136725,19.081490898132323,17.291603636741637,16.410592764616016,17.505593672394756,15.606711578369138,15.045778343081476,16.93721232414246,17.973011231422426,15.900855278968814,17.398435920476917,16.32341841757298,16.810277891159068,17.46597668528556,16.81250555515289,18.990891051292426,13.434593135118487,17.916848421096798,17.61412901282311,17.43317844271661,16.069214046001434,16.840645879507058,15.953682255744932,17.65774937272072,20.757005476951605,16.761893647909172,15.941629850864405,17.44151315689087,15.547680640220639,17.29816224426032,14.85703311860561,16.083105272054674,15.652947962284097,15.340030246973049,14.472603902220726,16.439304912090304,17.679020103812217,16.571561026573182,17.27591291069984,16.923822033405305,17.459199941158296,17.165011334419244,15.546841600537295,17.390863662958147,16.04699929952622,15.416249504685405,16.030173498392106,17.643706801533714,17.159158460795883,17.020225036144264,17.29077530503273,17.93223706483841,16.66554933190346,16.234127867221833,15.70633504390717,19.25411181449889,16.576748305559164,17.672862756252293,17.021633583307267,17.831214833259587,16.776174998283373,15.67849760055542,16.240801388025282,17.78574404716491,17.01532253026962,17.104116714000703,16.261250397562986,17.093016982078556,16.149066340923305,17.593180227279664,17.74690368622542,18.09009282588959,16.16776102781296,16.615918457508094,16.344202712178227,16.99874330759048,16.729447931051258,15.958814656734466,17.80707274377346,16.919906193017955,16.09142709374428,15.272098255157465,16.615314455330374,15.67997828722,17.61967849731445,14.65701819956303,13.770263278484347,19.620613670349133,17.865337079763417,16.443888950347908,17.084876680374144,16.654125577211385,17.169741606712346,17.26349458396435,16.133604598045352,16.968218749761576,15.743979062885046,17.05743774771691,16.768111002445227,17.616077643632895,16.18715918064117,17.371412754058845,17.720869582891464,16.61595661640167,15.545883470773699,16.16317825317383,15.03663041591644,17.27187423706054,17.73808865547181,17.41318389177323,16.427845919132235,17.43267388939858,17.67826994657517,17.209885010123262,17.62852451205254,16.69240927696228,13.886787566542619,17.487229090929027,15.799129790067672,18.04381299018861,14.986294701695446,15.570985221862793,15.765116012096396,18.208473479747774,15.481300657987589,17.33739043176174,16.872781538963316,18.01015014406294,17.20345821380615,15.595977425575262,17.84759625196457,17.55327037572861,16.921276476979255,16.708728873729704,17.3333026394248,18.276653087139135,14.630866372585297,15.136063176393517
2027,15.505752182006836,16.456393766403203,17.506791102886204,18.3729659318924,17.479217052459724,17.486624908447265,18.093630683422088,15.759318387508397,16.24166318178176,16.408241224288936,13.87475664615631,17.223232340812682,16.601601719856273,15.424128472805029,17.963558483123784,18.397952616214756,16.49236444234848,16.396559071540832,17.000485277175898,14.631956744194033,17.227722203731542,15.381495928764346,18.92904572486878,16.54869339466095,17.619151473045356,18.595538759231573,14.48074612617493,17.312795782089232,17.07244579792022,17.035588002204896,18.64429571628572,17.957108569145202,16.992536079883575,17.27198143005371,14.056374377012261,15.750818341970447,16.550293731689454,18.27306623458863,16.009460568428036,17.196348929405204,16.3983139038086,17.36434438228607,17.194143795967104,16.37059355974198,18.078712248802184,12.929566636681562,17.785092663764956,17.343194472789765,17.221132647991176,14.477882754802703,17.635003709793097,14.258027696609497,18.35154923200607,20.137229788303376,16.723775029182438,14.937269628047947,17.289404749870304,13.929007840156558,17.003453099727633,14.388624978065497,16.336478638648984,15.158337736129763,15.438309073448181,14.139422512054447,14.867062628269199,17.389290761947628,16.396941447257994,17.91901471614838,16.734230542182928,17.76310656070709,16.84899592399597,15.126986312866212,17.134532952308653,15.988746356964105,15.871304738521577,16.183193159103404,17.41668645143509,16.921798235177995,15.580422580242157,17.122332501411442,17.56914786100388,16.18691771030426,16.32583637237549,15.275488317012782,18.25273859500885,16.33926640748978,17.45730630159378,16.284073817729954,17.593409490585323,16.657793748378754,15.61398305892944,16.037567579746245,18.395428419113163,16.919606518745436,17.807337522506714,15.964848124980927,17.8081113934517,15.727801358699804,18.19842948913574,17.51963503360749,17.855791664123544,16.80470476150513,16.20773026943206,16.559167909622197,16.60592777729035,17.492985594272614,14.356115698814397,17.55652247667313,16.4554269194603,15.693057692050933,13.743025618791586,16.371433329582217,15.79637973308564,17.366630280017862,14.239128410816193,12.565065008401875,19.170571374893196,17.614004611968994,16.4134241104126,17.764792203903202,17.571766579151152,16.902048075199136,17.022536778450025,14.603675746917721,16.806808638572694,15.751755487918853,16.780837202072142,16.881116628646858,17.365181910991666,15.451454818248754,17.04049719572068,17.532449638843538,17.249379277229313,15.641642642021177,16.35146322250366,15.687885546684265,17.05699498653413,17.52070866823197,17.291735649108887,16.318826830387124,17.33067578077317,17.45075891017914,16.981601464748387,18.366026616096498,16.872715568542482,13.255775421857837,18.181877899169926,15.914330792427066,18.726274967193607,15.090082848072052,14.521030950546267,15.663257551193237,18.551732206344614,16.1394269168377,17.174177086353303,16.76082358360291,17.649931442737575,16.79209899902344,15.131193506717684,18.547501254081727,17.774503517150883,17.725337707996378,17.24200831651688,17.10790520906449,17.979266059398643,14.211759698390964,15.316962456703184
2028,16.534651887416842,17.60880333185196,18.087367105484002,18.802356576919557,17.353826940059662,18.86099970340729,17.860525560379035,16.607719421386715,17.60652289390564,17.121086561679846,15.81745799779892,17.492238259315492,17.089834380149846,15.978025019168857,17.60393403768539,18.174864375591277,16.84391195774079,16.58901230096817,17.359884202480323,16.292795956134803,17.026084434986124,16.148342180252072,19.059728193283075,17.02822244167328,18.34504554271698,18.517487168312066,15.330025911331173,17.89884669780732,17.797794556617742,17.35758019685746,19.13719775676727,17.686920833587656,16.90801984071732,17.640900790691376,15.923060739040375,15.590227198600768,17.33136094808578,18.03726511001587,16.48581192493439,17.494486653804774,16.82065595388412,17.275500714778907,17.574016165733337,17.168013334274285,19.705985116958622,13.881541389226916,18.614505672454833,17.76201041936874,17.54810122251511,16.273956608772277,17.375214385986332,16.174512696266177,18.14836615324021,20.772997260093693,17.091107833385472,16.156223678588862,17.81562758684159,15.832976984977723,17.94110717773438,15.223997890949255,16.578769552707676,15.926807558536538,16.871564817428595,15.721963405609136,16.735155415534972,17.806381785869597,16.695735263824467,17.777462279796612,17.57270720005036,17.89428234100342,17.389202713966373,16.003362548351287,17.68867834806442,16.094835472106933,15.926617562770844,17.436183941364295,17.91306486129762,17.625270569324506,15.96393225193024,17.34505633115769,18.815089833736423,17.00223536491394,16.96114320755005,16.1129024028778,19.971391820907595,16.7602290391922,17.76374299526214,16.840779745578764,17.942012202739726,16.83344420194626,15.736472177505494,16.71142176389695,18.030264627933512,17.368988084793095,17.575602746009828,16.564797151088715,17.506199026107787,16.576476848125463,18.104873049259187,18.18317140340805,18.715833663940423,16.693989598751067,17.04349155426026,16.838099193573,17.39312390089035,17.24326374530792,16.175453019142157,17.917429125308985,17.271836268901815,16.540466904640198,15.662143659591678,17.050976306200024,17.221637403964987,18.28072727918625,15.088249504566193,14.125275480747217,19.624524402618412,18.639812088012697,16.730482351779933,17.527609777450564,17.16484795808792,17.37653760910034,17.809135699272158,16.303252291679378,17.390315997600567,16.20367715358734,17.48738273382187,17.87695426940918,17.74123417139053,16.826477980613713,17.62979632616043,18.094825816154483,17.12437752485275,17.053367888927458,17.525790417194365,15.580544042587283,17.373725175857544,18.48673570156097,17.970636987686156,16.508000528812417,17.829516339302067,17.771719098091125,17.31372872591019,18.136160647869115,18.207827925682068,14.264971399307251,18.00269919633866,17.325308847427372,18.532005763053895,16.54354195594788,15.953047978878024,15.878783738613123,18.574893617630003,16.013515317440028,17.741048717498778,17.23855577707291,18.134090220928194,17.647199320793156,15.99151251316071,18.331103634834296,17.867122745513928,17.43373148441315,17.162896263599407,17.74374830722809,19.155634498596196,14.925253891944886,16.563002896308905
2029,16.853438735008247,18.16918436288834,19.11730593442917,20.268465065956118,18.000958776473997,19.753033655881875,18.545967698097236,17.262063330411916,17.997911906242386,17.89047024846078,16.610899281501766,18.593326783180235,18.067718005180364,17.244600319862364,18.35627746582032,18.903762793540952,17.896577942371362,17.54947296380997,18.516452252864845,16.77881180047989,17.66127822399139,16.586916685104363,20.19787174463272,17.993137085437777,19.063309550285336,19.75373046398163,16.036312049627305,18.961233615875244,18.335411763191225,18.512770605087283,20.56817557811739,18.246991539001463,17.51284511089326,18.82196432352067,16.56797425746918,16.225984001159674,18.034916937351234,19.321673989295956,17.17436355352401,18.633273661136627,17.807623308897018,17.997322726249703,18.773783850669865,17.8978026509285,21.035072326660153,14.75583684742451,19.236834502220155,18.85916156768799,18.675055456161505,17.15775753259659,18.129704558849333,17.047002029418955,18.81125755310058,22.740778994560248,18.034626197814948,16.95349650382995,18.905421936511992,16.550462478399282,19.01393544077873,16.020156702399255,17.483770728111267,16.86677668392658,17.26133822798729,16.21125814914704,17.375177013874055,19.043419921398165,17.780300784111027,18.418668997287753,18.382156825065614,18.564466714859016,18.35956428050995,16.69364731907844,18.910965222120286,16.997051417827613,16.685116308927544,17.81245156526566,19.10853073596955,18.92208749651909,17.925374460220333,18.40683988332749,19.644185125827796,17.776752847433094,17.582625210285187,16.82457346320153,21.402940583229068,17.89968857765198,18.984552836418153,18.194439661502845,19.17821661233902,17.81695243120194,16.60401929616927,17.858699458837513,19.109191942214967,18.336284995079033,18.241662943363202,17.506872057914734,18.13705352544785,17.236977207660686,18.70999799966812,19.455208444595335,19.6179238319397,17.352234554290774,17.71145313382149,17.710971045494084,18.136705654859554,17.99690843820572,17.019666504859934,19.17810167074203,18.00050590634347,17.215338587760925,16.317885833978657,18.274039125442506,17.61227385401726,18.933980917930604,15.797807410359392,14.823693355917934,21.16823244094848,19.3682354092598,17.593282389640816,18.14204975366593,17.98239834308625,18.415533280372625,18.834718608856203,17.16860622167588,18.46051005125046,17.2133272767067,18.124163770675658,18.418984961509707,18.878074896335608,17.45386892557145,18.51925122737884,19.172353589534758,17.76104812622071,17.443428850173955,17.88578389883041,16.221301275491715,18.540168392658234,19.17690354585648,18.488068604469298,17.483062124252324,18.848722457885746,19.020368945598605,18.50951185226441,18.88391717672348,18.585257363319393,15.033984512090683,18.647120141983034,17.715969985723497,19.25506237745285,16.946484625339515,16.582255691289898,16.783694446086876,19.4242214202881,16.673334068059926,18.856526112556466,18.29657171964645,19.51107709407807,18.27696588635444,16.703786152601246,19.01268661022187,18.862790143489836,18.23558151721955,17.907402420043944,18.95367614030838,19.965543365478528,15.71339074373245,16.90963485240937
2030,15.853590023517603,16.94158525466919,17.650281631946566,18.777591586112976,17.05740007162094,18.45542778968811,17.479017102718366,15.692037877440447,16.83811514377594,16.28404943048954,15.278952127695081,17.259752571582794,16.705733656883247,15.484112370014193,17.236056655645367,17.79200412034988,16.625982844829558,16.37912681102753,17.13633887767792,15.572211354970937,16.633158683776855,15.321296763420104,18.810771429538732,16.659348285198213,17.98651585578919,18.732989418506623,14.445536706899295,17.490315985679636,17.504303038120263,17.125093096494673,19.06935334205628,17.406352198123933,16.45091019272805,17.410853672027592,15.389707630872726,15.20202245116234,16.514811992645267,18.019637441635133,16.070475387573243,17.264514350891112,16.41309373378754,16.8136786878109,17.346794283390047,16.294587886333463,19.002978610992432,12.841381388902665,18.19379942417145,17.49437468051911,17.32182470560074,15.764595270156864,16.992335903644562,15.685945808887476,17.792025250196456,20.678607726097116,16.68742204904558,15.542901182174683,17.423093193769454,15.320767015218738,17.5290888428688,14.310314080119136,16.16994018554688,14.984979778528214,16.086717605590817,14.987803679704664,16.22524827122689,17.61115918159485,16.49742410182953,17.42327708005905,17.20780005455017,17.354565858840935,16.930644965171812,15.114026193320763,17.412102872133254,15.91004365682602,15.526498183608059,16.697918164730076,17.613383013010026,17.16083298921585,16.490290176868445,17.102723002433777,18.408279287815105,16.10655675530434,16.495332396030427,15.23214932978153,19.275733995437623,16.539773350954057,17.53013062477113,16.33116028904915,17.701935160160065,16.63486546278,15.560084211826325,16.296536403894425,17.880396509170534,16.970913922786707,17.185443490743644,15.714636482298378,17.1962272644043,15.686817497015003,17.765791368484503,17.726825582981114,18.324497759342194,16.32328968048096,16.16198903322221,16.422292107343672,16.600354877114295,16.88485782146454,15.685175323486328,17.68640516996384,16.3862375497818,15.678669148683554,15.130409830808642,16.631251412630085,16.434945380687715,17.973432385921477,14.20266831070185,13.465610513836145,19.573224091529852,18.28665922880173,16.345049798488624,17.2299367427826,16.77289828658104,16.992730772495282,17.444897055625923,15.851997888088231,16.94727513194084,15.760868513584139,16.650686180591592,17.256397044658662,17.526768875122077,16.17839384675026,17.08575804233551,17.697930121421813,16.759490400552753,16.282287251949317,16.807394087314616,15.202885085344317,17.151008355617527,18.149172246456153,17.64539477825165,16.29072082042694,17.40880731344223,17.541900229454043,17.101285076141362,17.771184802055352,17.40459487438202,13.414387190341952,17.67963710427284,16.541968786716463,18.175502133369445,15.750370264053341,15.272316282987589,15.69318888187409,18.303954648971562,15.623341199755666,17.306171047687535,16.815603566169738,17.934171253442763,16.725993493199347,15.090537343919276,17.953393870592123,17.631099271774293,17.037966084480285,16.828738802671435,17.314046901464465,18.754002940654765,14.071797609329224,15.810143458843237
2031,17.18222427368164,18.189836680889126,18.465417122840883,19.351414585113524,17.197613573074335,19.127869689464568,17.6574475646019,16.459922194480896,18.277734315395357,16.983795249462126,16.045836758613593,17.835902404785156,17.44323587417603,16.085584115982055,17.403161501884465,17.94793006181718,17.19663486480713,16.870061922073365,17.730146586894996,16.81036044359207,16.873778080940248,16.02002489566803,19.24562487602234,17.34706056118012,18.61360807418823,18.498271131515505,15.175318539142614,18.25344985723495,18.00793511867523,17.719967877864843,19.701430845260628,17.51495938301087,16.768522405624395,18.034360134601584,16.070791578292848,15.448835062980654,17.25376722812653,17.95381234884263,16.94030413627624,17.86725788116455,17.009409356117253,17.088721644878383,17.964613187313088,17.052285480499272,20.651930403709414,13.680506852269172,18.80417275428772,18.1063325405121,17.8833596944809,16.584896099567416,17.166382801532748,16.43101358413697,17.97536739110947,21.574484729766848,17.41232271194458,16.210041034221653,18.225756156444554,16.041213285923007,18.252656483650206,15.062157237529755,16.631649720668797,15.78236206769943,17.52971980571748,16.271619570255282,16.897639250755315,18.220239794254308,17.047495436668402,17.61594053506852,17.778654170036315,17.735229432582848,17.549824070930494,15.853169059753416,18.120179712772376,16.354475927352905,15.876109981536871,18.136969554424287,18.341398084163668,18.009399759769437,16.754031205177306,17.681654191017152,19.06505554914474,16.86331340074539,17.454905056953436,15.976694500446325,20.92599165439606,17.12554883956909,18.11594717502594,16.937724149227144,18.30735253095627,17.116054677963263,15.976714468002323,17.103640961647027,17.88763792514801,17.725228357315068,17.397639870643623,16.43747133016587,17.341211307048795,16.43652412891388,17.952264225482942,18.594640195369713,19.027550601959234,16.5161540389061,16.912408506870257,17.007921278476715,17.31469138860703,17.04409331083298,16.440357613563542,18.28670845031738,17.14191100597382,16.390095555782317,15.877140617370605,17.408142328262322,17.865676426887518,18.500380063056944,14.931315207481385,14.175970733165746,20.24206836223603,18.910977423191074,17.001835203170778,17.36686689853668,16.95519752502442,17.63099687099456,18.106477296352388,16.599020993709562,17.77746427059174,16.45719516277314,17.353144240379336,18.449179601669307,18.11536358594895,16.988277184963227,17.750321984291084,18.426974678039556,16.949123907089234,17.732893121242522,18.198364233970636,15.445089542865755,17.711171174049376,18.74037795066833,18.188374376297,16.81055815219879,18.217039072513586,18.12356728315354,17.6795544743538,17.91619634628296,18.87057662010193,14.15268741250039,17.848032104969022,17.998577618598937,18.312638187408457,17.203356909751896,15.95632362365723,16.160490703582767,18.624343085289006,15.845792996883395,18.153543984889982,17.612433469295503,18.600434875488283,17.501494467258453,15.830077612400052,18.132646834850313,17.993952393531803,17.21508486270905,17.08165578842163,18.115973126888278,19.42375214099885,14.75423082113267,17.288412582874297
2032,15.627872824668884,16.683618628978728,18.330325102806093,21.122338652610786,17.50412697792054,20.692598390579228,17.94854625463486,16.06200933456421,16.35378648042679,16.60686811208725,14.183935403823856,17.75330886840821,17.3262009382248,15.815233051776886,17.71793919801712,18.254428184032435,17.136982262134552,16.83408350944519,17.612562310695647,14.82747939229012,17.088552188873297,15.83176980018616,20.32525475025178,17.262272405624383,19.380389046669013,19.271245121955875,14.769798314571386,18.202186012268065,18.998267650604255,17.580904901027676,21.411271786689763,17.804316902160647,16.89979327917099,17.94560812711716,14.406658542156219,15.682731163501742,16.867067635059357,18.606329369544987,16.258699214458478,17.740343403816215,17.029524827003478,17.271828866004938,17.847320437431343,16.6116917014122,22.306326079368596,13.257493460178377,19.94554946422577,17.96366324424743,17.824611544609073,14.79202225208283,17.466945958137522,14.563891386985778,18.2444048166275,24.009492683410663,17.306253838539128,15.194663786888125,18.079572772979745,14.251939547061918,18.90057291984558,14.661491584777838,16.740048885345455,15.357849693298343,15.56110657453537,14.312071079015734,15.228245031833652,18.130462455749516,17.02533812522888,17.85522011518479,18.927622818946833,17.75892254114151,17.319361639022826,15.446313393115997,18.050214207172395,16.371432828903206,16.041582131385802,16.298565840721132,18.23563321828842,17.922471797466283,16.02137787342071,17.56285827159882,20.509772825241086,16.430057561397557,16.591139757633215,15.540706920623785,22.692130994796752,16.935853159427648,18.074824821949008,16.57308789491654,18.252326321601878,17.11779410839081,15.998848342895508,17.001663076877595,18.43786602020264,17.597520160675046,17.652482509613048,16.085262846946716,17.613878822326665,16.029972863197333,18.189126265048976,18.48127316236496,19.70311026573182,16.764699041843407,16.519120311737062,17.003148400783545,16.940638732910152,17.3638690829277,14.651888060569764,18.234380340576173,16.701739978790282,16.014632272720345,14.093315505981446,17.34376131296158,15.910114508867263,19.630802345275875,14.534017550945284,12.918269979953767,22.1223584651947,20.177029061317448,16.9196275472641,17.651022529602052,17.30349862575531,17.438599598407748,18.833573293685912,14.865965676307678,17.64174770116806,16.41253690719605,17.03485478162766,17.084959948062902,18.001610219478607,15.803268945217136,17.488603579998014,18.347299098968517,17.181846702098845,15.7759755730629,16.46210329532623,15.66386412382126,17.65381712913514,19.97182691097261,19.111914896965025,16.760886693000796,18.07673931121826,18.08209980726242,17.582731223106386,18.236606609821322,16.964523601531987,13.553904581069947,18.137110817432397,16.04395447969436,18.611398148536683,15.202073496580123,14.880465531349184,16.127861714363103,19.326556515693674,16.0877421617508,18.007295489311222,17.485283923149115,18.514749324321755,17.098371171951285,15.421865236759185,18.409514200687408,18.871104025840758,17.538036000728617,17.503412759304044,18.02957137823105,20.852739763259883,14.452484595775607,15.494046413898465
2033,16.62564792633058,18.050996243953712,19.61993989944458,20.38166208267212,17.89459676742553,20.676163518428805,18.349893593788142,16.5402534365654,17.79288963079452,17.15781820416452,16.105098104476934,18.72367293834687,18.51986372470856,16.297611570358278,18.125120484828948,18.687621438503264,18.112282335758206,17.640088725090035,18.681577050685892,16.53680957555772,17.482397174835206,16.545036220550536,20.175550186634062,18.412970948219307,19.66098306179047,19.332842135429388,15.26933063864708,19.43612592220307,18.938127708435065,18.65087854862214,20.7123834848404,18.0551472902298,17.311565005779272,19.037461149692547,16.201246082782745,16.10655779838562,17.397147279977794,18.81166529655457,17.09454791545869,18.78456387519837,18.08771204948426,17.72111817598343,18.93358722925187,17.120027709007267,21.49687941074371,13.875909665226933,19.921527719497693,18.996096241474152,18.84553542137146,16.58361788988114,17.94257574081421,16.4842988371849,18.648874032497403,22.909192776679998,18.428559112548832,16.315209603309633,19.38338656425476,16.10783120393753,19.67077292203903,15.22384857535362,17.604604494571685,15.943992954492566,17.062323653697966,15.931732034683227,17.005055522918703,19.25269732475281,17.9923454284668,18.264645767211913,18.789349699020388,18.19476971626282,18.13249105215073,15.935021060705186,19.328878235816962,17.060086226463323,16.684097814559944,17.605089187622074,19.49838387966156,19.4421658396721,16.901119828224182,18.50985859632492,20.506568062305455,16.996952211856843,17.492365360260013,16.045327132940287,21.852546310424806,18.04347867965699,19.133823621273045,17.106858050823213,19.354468321800237,17.900127911567697,16.66982682943344,18.385117232799534,18.734851586818696,18.778715419769302,18.04751474857331,16.694899386167528,17.931080818176277,16.506876432895663,18.588729274272925,19.973236632347113,20.25893759727478,17.172912967205047,16.969218999147415,17.92338275909424,17.45878735780716,17.80869530439377,16.458355426788323,19.372910487651822,17.21726188659668,16.493179839849475,15.933614552021027,18.760623347759246,17.41417617797851,19.605844497680664,15.050581571459773,14.291116863489147,21.29147617816925,20.128666424751287,17.941015648841866,17.978804254531866,17.728199589252476,18.39312953948975,19.367440283298485,16.610710835456846,18.9675306558609,17.566620767116547,17.500001251697547,18.261238551139833,19.054302954673762,17.100506985187533,18.256198215484623,19.594765949249272,17.599729800224313,17.249819219112396,17.65867204666137,16.10294817686081,18.696757090091715,19.913499426841735,19.059604930877704,17.60197125673294,19.3386356830597,19.1763776421547,18.67262197732925,18.651170074939728,18.365133762359616,14.29524542987347,18.520443952083603,17.518968677520753,19.02154285907745,16.73924243450164,16.08247067332268,16.933421659469605,19.37476313114167,16.5126554608345,19.374598026275628,18.761645138263706,19.782079994678497,17.561023449897764,15.917940545082093,18.81599553823471,18.799592053890223,18.00824794769287,17.768656158447264,19.43365195989609,20.812087941169736,14.945241284370429,16.688688731193547
2034,17.07928370237351,18.33621871471405,20.432908892631534,19.908363389968876,19.232642734050756,21.13414324522019,19.88278135061263,17.45095264911651,18.158948028087618,18.113882243633277,16.728728520870213,18.84993102550506,19.32916523218156,17.367968440055854,19.797389781475065,20.273629117012028,18.18885618448258,17.848851144313812,18.76717898845673,16.910756111145023,18.947195303440093,16.950494396686555,20.80708310604096,19.22504278421402,20.213525426387786,20.328454756736758,16.173976778984077,20.20687619447709,19.330928802490234,18.75277180671693,20.211428713798522,19.379967284202582,18.67046389579773,19.119492161273957,16.712127447128296,17.538905668258675,18.224884474277502,20.2517749786377,17.524058640003204,18.892980802059178,19.071604013442993,19.197788238525384,19.073132658004766,18.00502414703369,19.494315028190616,14.97240814268589,20.44053144454956,19.18174985647202,18.971266508102424,17.347228741645814,19.572052085399626,17.161658143997194,20.08835189342499,22.21348910331726,19.365725553035734,17.141087698936474,20.088605618476862,16.682056891918183,20.336090731620793,16.205143755674364,18.747403371334077,17.092712855339062,17.416446959972383,16.34764715433121,17.524549496173858,19.308469247818,18.134033954143526,19.645459079742434,19.04835031032562,19.468085825443282,18.540758228302007,16.848131155967714,19.521335154771812,17.365487611293794,17.959129250049592,18.020626771450047,19.927835369110113,20.361976474523548,17.4107857465744,18.663790464401234,20.952240514755243,17.912543916702276,17.878191411495216,16.924515748023993,19.770531034469606,18.13908182382584,19.312931466102608,18.25450965166092,19.497631824016572,18.162358224391934,16.945318901538855,19.13480381965637,20.354859042167664,19.651693212986007,19.54853022098542,17.89965249300004,19.37910380363465,17.404270935058594,19.86493002176285,20.891908490657805,20.81270631551743,18.57055366039277,17.894707226753237,18.972773134708405,18.28315390348434,19.379187524318695,17.15064562559128,19.49128190279007,18.114685344696042,17.405921399593353,16.451280546188364,19.565951633453377,17.75083241462708,19.932897782325753,15.968503224849707,14.992442166805265,20.71944148540497,20.561440098285672,18.862968909740456,19.323906779289253,19.552154827117924,18.64658172130585,19.937854301929477,17.272160136699675,19.77906789779663,18.50848650932313,18.434506380558012,18.621829557418824,19.09773553609848,17.612631618976593,18.700435853004457,20.3363046169281,18.97974296808243,17.613508486747754,18.086073827743526,17.500589239597318,18.821512377262117,20.337722086906435,19.50582280158997,17.789001441001894,20.18604068756103,19.33084630966187,18.761889910697942,20.238961708545684,18.730079996585843,15.210114353895182,19.90160442590713,17.878297209739685,20.550588583946233,17.095406389236455,16.763905370235438,17.07803095579148,20.167366719245912,17.95359888076783,20.252698051929485,19.705597376823427,19.818175989389424,18.452325034141545,16.830784797668457,20.31384214162827,19.433293938636787,19.69967187643051,18.955889892578128,20.287827634811407,21.288639855384837,15.98507778644562,17.146325814723966
2035,15.84737226963043,17.06178008317948,19.02887156009674,19.583131241798394,17.48715955018998,19.931986725330354,17.95522657632828,16.560327041149133,16.80261725187302,17.1482900261879,16.231450617313378,17.845860755443578,18.005266511440276,16.614880096912387,17.73936837911606,18.252608585357674,17.213548088073736,16.891769576072694,17.740857315063476,15.763670897483829,17.11789149045944,15.927920627593995,19.520612299442288,17.928325152397157,19.22638852596283,19.15251350402832,15.304913657903674,18.817687356472014,18.588406920433037,17.73247283697129,19.939679861068733,17.83510975837708,16.974203968048098,18.04896587133407,16.242884284257897,15.688050371408469,17.334624910354613,18.604269051551814,16.35076146125793,17.86746846437455,17.447643136978147,17.388850021362305,18.01315087080002,17.145350039005283,20.75934510231018,13.907966089248657,19.45710480213166,18.167878270149227,17.92997997999191,16.831210494041443,17.486625194549568,16.710196661949162,18.237763822078705,21.856394493579867,18.02135087251663,16.468557083606726,18.703725361824034,16.207878708839424,18.945548832416534,15.254487091302877,17.027670049667368,16.016584134101876,16.04485764503479,15.182891082763675,17.05495997667314,18.24316066503525,17.081033957004546,17.856350851058956,18.59029536247254,17.961850512027745,17.607802546024327,15.974151283502582,18.310185110569,16.39101400375366,16.197191500663767,16.683420717716217,18.648051965236668,18.66480018496513,17.94680982828141,17.67240788936615,19.804780709743504,17.01127557754516,16.717885208129886,16.087036967277523,21.095337939262386,17.091649198532103,18.176455259323127,17.468809902668003,18.36110953092574,17.16037819385529,16.021178925037383,17.65432325601578,18.40867367982865,18.304326987266546,17.670472157001498,16.669720613956454,17.658142566680915,16.525012862682342,18.172996246814726,19.239206993579874,19.624121260643005,16.751019012928005,17.004497575759892,17.415954422950747,17.419587481021882,17.36559975147248,16.666924917697905,18.34928418397903,17.251180410385135,16.521591913700103,15.913409882783887,18.003016459941865,16.395811820030218,19.065288770198833,15.078106182813638,14.35889269113541,20.466560983657832,19.59343062639237,17.601130402088167,17.669577097892763,17.346210396289827,17.654768967628485,18.697063553333283,16.82491948604584,18.337714159488687,16.968140500783914,17.45461956262588,17.37775189876556,18.114294254779814,16.77393654584885,17.78996398448944,18.972446763515475,17.190000534057617,16.24081839323044,16.793143808841705,15.665207993984222,17.755457675457002,19.41818817853928,18.765287208557133,16.821714222431186,18.788124084472663,18.184205579757695,17.71704399585723,18.22004860639572,17.402257859706875,14.331190019845959,18.126774775981907,16.509190356731413,18.595090484619135,15.704718875885016,16.10456112623216,16.19020268917084,18.861722409725186,16.082749515771862,18.752712118625645,18.24162721633911,18.631528007984162,17.585112154483806,15.964624655246732,18.41359446048736,18.236123073101048,17.535123085975652,17.31537132263184,18.72341756820679,20.16915590763093,15.001239848136905,15.801649534702307
