Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2026,10.057698970579585,10.627172635926394,11.390805536962077,12.95824994648928,11.266546547412878,11.561400574186576,11.29812612028226,10.03521549572115,10.54581149797077,10.65785705201004,9.556345648132266,10.841208724467005,10.605553356687663,10.194393795469535,11.21609873292239,11.546728046044063,10.34848648220625,10.352110980402518,10.73446589238618,9.51960078221948,10.410498285807833,9.899927051292488,12.208199113607412,10.63816740849744,11.846371661385763,13.038498900061395,8.617422966215678,11.312974385431282,11.754574292663328,10.65099296508276,12.698906094807645,12.284582780613361,10.2320517225434,10.86145089429034,9.753980695229512,8.98749622726894,10.404203932570379,11.64126400066459,10.32448025825231,10.823085496262847,10.17556617959686,10.664918825840175,11.317051094308821,10.706806561221244,13.810409691022782,6.358693396186699,11.94333249022779,11.433281221143579,10.858520309886204,10.818125042578448,10.70356526841288,10.575899336001145,11.766114891871165,13.194975616491362,10.436251902547868,10.542181031211562,10.939581122411337,9.65483968901327,11.118157718482468,8.411929933678195,9.941872896707576,9.088289526817592,9.762587907521624,8.753490785541745,10.584385265960645,11.31363813303735,10.227499462178221,11.405262222756507,11.687919875687884,11.310410837764328,10.64548054377994,9.179662507472806,10.699913153181907,10.147208062263772,9.298102091511957,10.449896752064971,10.999036728525938,10.790830465762511,11.741695481959892,10.7303996656252,11.715063647691,10.42732744242834,10.563503911293557,9.583891284206642,13.66384891388209,10.158548928847866,11.006389700078772,10.92821866362963,11.06159664068938,10.56944654242176,9.899674201789109,10.042201938998442,11.558019573921747,10.783208599536804,10.980198495090011,9.843651548027994,11.664121374163944,9.870809284565244,11.831084489822388,11.36020283481997,11.983348576999877,10.268818425419537,10.173098017988002,10.096100134370124,10.465560956493672,10.708876758813856,10.415872886452991,10.993628253795855,10.675177894208744,9.64718864898643,9.405189890940877,10.468935724914724,10.156555599006625,12.178023640390325,8.262823619758302,7.725123365612132,13.242299910310818,11.866769728453265,10.31334107660729,11.701318795519436,10.346538100229658,10.667344327854078,11.1855523723947,10.786933738576327,10.64595019347642,9.54562438506147,10.836942788051525,11.146039147739826,11.202825035171019,10.293001151765168,10.991199309633965,11.72445650759366,10.743861649509359,9.903699261338815,10.744567936903838,9.120835869127642,10.673025961965324,11.835303226242893,11.941193843017457,10.183476871122485,10.981809430917648,10.984491585227458,10.603036587329015,11.629236438352129,11.142297262872528,7.422574246707171,11.77330824214479,10.253985792767946,12.092268306600014,9.411736255025737,9.524762305228606,9.836989210675595,12.125376100854378,9.473676288500428,11.002601937431358,10.581843915192978,11.223214025143536,10.696781812802605,9.358991639931563,11.78644488233587,11.362716912575392,10.664932876825334,10.63626260173244,11.09870722760325,11.99323797485103,8.530769993105665,9.84855337092734
2027,11.6525700678644,12.480659745714586,13.474227750754874,13.963676473368764,13.314520256998746,13.161387529062191,13.531645359552424,12.461449750739595,12.331415370430637,13.098644649043031,11.858454133586383,12.791462706239978,12.499170065574024,12.605088723904412,13.520843269222459,13.865803266349051,12.218676602062974,12.105640359546832,12.758645258843904,11.44613647687694,12.650466016453246,11.316868027915127,14.025806782200288,12.463253559625672,13.276911043602487,14.916251755279049,11.050015446284545,13.299346336528014,12.882716023403669,12.64258984775971,13.723646399767503,14.120019733905792,12.507361303690981,12.930506659752652,11.86373899763693,11.313345776506418,12.759812081961531,13.967436104122067,11.996261490427932,12.803632767790035,12.374867890192116,12.96796248594056,13.404338237697907,13.123075382196872,13.76902156809102,9.332528204454679,13.301040863213334,13.4528832918276,12.88472819611754,13.077501189773498,13.065342655405404,12.826465162408095,13.931501878992378,14.445156767964363,12.351654567796249,12.743627952168822,13.06041201049179,11.814805130757716,13.03441124458028,10.998372989828171,12.159267365932465,11.816280799917877,11.565071002013333,10.681434302388324,12.618292785371125,13.426411062802957,12.132726015928002,13.531675188761692,12.821035219275434,13.57338382271321,12.752957361952769,11.604085727999719,12.941075185718748,11.790575821762504,11.553738726581367,12.210743160027524,13.177463506955815,13.158511139452463,13.358990226102915,12.62160384622605,13.257208879227223,12.911308371401189,12.25922164094189,11.981555607954402,13.606382989365125,12.125877775251864,13.102406984114129,13.422876911764236,13.211623312176574,12.338303769412251,11.485215692416482,12.194749615762545,13.90731270263053,12.72624353222225,13.222794647126092,12.54768640126871,13.666226162858631,12.279181881018145,13.853961226236802,13.691807031631472,13.676995824860493,12.466103186881494,12.583057614043355,12.274237240219247,12.808561786037425,13.012723426456034,12.607247108350633,13.165490268446181,13.098087141938183,12.049858552768182,11.499453189843537,12.650889026729956,11.962644180576522,13.401296400505563,10.74188095852277,10.051652880466506,14.261980282223748,13.246599520030234,12.10090188487716,13.66230247202127,12.819271232608873,12.771540413246209,12.941939058997061,12.883780027456257,12.783928531343522,11.724218172871549,13.216735094299786,12.930164155752765,13.183599479901401,12.380332972854376,13.16592073124712,13.720196412957238,12.886172181238301,11.709028842413558,12.453409210252376,11.38411093827175,12.684526751870697,13.161211077933729,13.067996434543444,11.940980470698813,13.033457351767499,13.096228695434075,12.630222461652012,13.927863108885026,12.927165378856918,9.994663458803428,13.865359029530183,12.058752394078866,14.318946633649917,11.23608538961929,11.745900464365663,11.445482201550318,13.878617564621178,11.760103631906379,13.166452815513248,12.647919983319614,13.543790379215194,13.111934147046313,11.800269207147801,14.005861601265876,13.081446169511132,13.114753866406238,12.687972118875582,13.306786598981889,13.530211136473907,11.043718331533928,11.637991997210875
2028,10.877803676883168,11.631533612983059,12.67463362540888,13.551398469054178,12.467062081979673,12.554248987170668,12.614147952879252,11.187392573479727,11.518937585956376,11.839148870269444,9.754101303608522,11.895187083145846,11.752510917018697,10.96505874933918,12.583964432468235,12.907896235423246,11.374854100766878,11.293882473007493,11.82835187325659,10.287699810188748,11.760307076751541,10.363816094139349,13.28775603162206,11.743044812394226,12.774614538835442,13.898496423078624,9.777714113421416,12.529073580209948,12.476261987634327,11.72704944565244,13.319220654342487,13.371013563612237,11.576945914522467,12.000830737084314,9.918409567812219,10.389984737939972,11.535505723167697,12.785653942305114,11.201403439692834,11.90309100127374,11.513812620906442,11.979441940622483,12.4379827114551,11.85718770649122,13.95994226569715,7.789271880933291,12.83422250948522,12.538872472941877,11.949550806544721,10.92583723463442,12.082781464266388,10.675123849620476,13.049049808765238,13.9672013119511,11.618569398703782,11.106350372342968,12.207110989616131,9.843810168135427,12.311834138453657,9.6288561432258,11.299036241824863,10.337716698808517,10.726650530715354,9.536146958884986,10.749608960073523,12.455137348359294,11.256026762335201,12.669531065970661,12.290469195531765,12.560816677125255,11.714863388191747,10.34791412819987,11.945950525853302,11.029895339323128,10.677488869784964,11.395017368010366,12.249471343648825,12.230449407401938,11.334249803753385,11.758365046232939,12.69418506421473,11.594096949890906,11.472584213251656,10.720274983216887,13.785281176152436,11.22146541268929,12.15123676083496,11.790250490720728,12.228846634981101,11.5413600763549,10.74193204874578,11.362942036079327,12.823968919965889,11.975573501810334,12.3131725255238,11.126235957540894,12.869504649354067,11.017387951197833,13.018169199076038,12.770108890760207,13.055978529479193,11.596412492996972,11.315378399322862,11.415530132109545,11.586330013673589,12.055552324847037,10.534203673915373,12.171435102820398,11.831944280749429,10.799415403410142,9.645688986972623,11.823114210739734,11.135795070911234,12.917292022834657,9.449497421231607,8.24957290388968,13.856170027152357,12.753991186618807,11.413579600012824,12.867736195092617,11.799403151421316,11.773265235571433,12.289371283886874,10.878997382788876,11.960389898725504,10.887614755688803,12.008913587819299,12.10867683913397,12.288335455095641,11.025282300765747,12.103231241683602,12.952310166848097,12.021370885610262,10.861504191431504,11.653902493417263,10.487354100884305,11.767169353835603,12.686434453677224,12.70236390569936,11.139624304745508,12.231252777268706,12.139615806224553,11.692520309907751,12.984970545699904,12.117658199337514,8.516689953596696,13.000607765887095,11.229798388991338,13.414452226265622,10.388099244269343,10.112997066295382,10.703471340886924,13.16243022615495,10.862439749873772,12.315886394485183,11.837961382030153,12.482513298644967,11.855192324470567,10.521049880726343,13.109929464352524,12.402326326007428,12.10051557996675,11.872447182302894,12.446744374768887,12.969448312489396,9.708460489126002,10.760110666813413
2029,10.13827464794335,10.786189247570608,12.028811888850257,14.421980399152515,12.45983923064626,12.91629931772047,12.515581159488017,10.880291102697026,10.717233029963532,11.519590654126976,9.880389845322656,10.986293349577034,11.166743498295547,11.188326561904475,12.506233400381777,12.8241726876358,10.510369511240208,10.454052013871467,10.89513101250581,9.75594861242596,11.631458957193662,9.767530585112775,13.711008922277912,11.181679208641468,12.798910524534145,14.61311166182808,9.475417430796053,11.97771665777849,12.699517566224806,10.80537201958182,14.198162104772488,13.326918910379,11.436109326293934,11.048624768853184,10.033059157026203,10.284669762396296,11.196250444480585,13.221800365849681,10.386986760665543,10.988168102972535,11.062066065471456,11.8436076519201,11.496483695247894,11.543750587526866,14.859126692232882,7.416607967901814,13.029049628454706,11.670335791964575,11.00467741724266,10.982472208369039,11.993604564917803,10.754173059502374,12.999570998231597,15.20872523700414,10.968168992711151,10.988387131172681,11.51045287692029,9.967603944727909,12.105300585779807,9.28947991873745,10.951753214163627,9.961432717608938,9.94366157119689,8.977791441685483,10.857260751659455,11.47941547697005,10.362117226114089,12.615430700714176,12.509889908458875,12.370306900337987,11.074372407048942,10.056957694823327,10.991492977133653,10.208287345974341,10.431289958403164,10.601646379851134,11.400840501908375,11.505093463575065,12.780714002640352,10.876644037825907,13.022678714448023,11.25536459716766,10.659331059326297,10.431794877933417,14.698716827060867,10.307881741258113,11.130542718359962,11.911924920814192,11.200235061347485,10.663303001581331,9.956682176045748,10.709234021442091,13.057904583604444,11.35757502557143,12.197108253836632,10.808092080704546,12.812140306700833,10.73045035030531,13.004714735014286,12.076390124371521,12.97217637851187,11.517649888668377,11.043355009640038,10.988845935496295,11.25152572054978,11.999660146908594,10.61375202424824,11.135737112520834,11.504758955991784,10.518286165254919,9.687191017619943,11.1526732813243,10.344077362638453,13.21949450606885,9.149149811664676,8.2094029272785,14.787304585394653,13.05486864078304,10.78362608992535,12.825205640300464,11.717903296989588,10.973820455129383,12.207719135867508,10.961783266099898,11.286318942580536,10.297714941325074,11.714854678058103,11.285829804027857,11.371947268995905,10.712692245314626,11.500505762255713,12.348600762369843,11.943707611978704,10.073488570425823,10.878680084386598,10.38917940079599,10.805945717770118,12.953511501540959,12.889239912447723,10.305961491904506,11.607090536059571,11.114955689575847,10.740814462951993,12.923645289047908,11.296098762232328,8.256350999991605,12.97919237010343,10.425825654650517,13.34110049190729,9.60781644657254,10.052540889594441,9.948965728930805,13.397017287171405,10.752038839070691,11.652792270578768,11.181970596434953,11.419402694572575,11.57493395455506,10.197775730701245,13.01089818727063,12.715150214083817,12.03183548356933,11.906203936694352,11.78388461130469,13.284964460231693,9.364524806647196,9.950770284656596
2030,10.327050912153464,10.895290245342517,12.025371972957384,14.422100983722059,12.482836812086727,12.543176198783128,12.794093710977748,11.171074931631269,10.837501741945744,11.848964887711668,10.499052111241644,11.062934634802138,11.198022807057464,11.744605229438648,12.766627387589086,13.080154346605847,10.496349680358948,10.54991230743168,10.892975858331699,9.974076491497135,11.899574663975965,10.064132266313491,13.768422785012621,11.208056544561106,12.66071130594482,14.764761729408866,9.833441647964165,11.928010611754392,12.489285568342257,10.853046437725427,14.173643346389998,13.457751745666869,11.681000042706733,11.04615292017875,10.569779601434005,10.472249731502455,11.47541596039968,13.586294848147942,10.570363941723885,11.034471553021476,11.040948478990925,12.144574563464396,11.508902592503507,11.885022411446856,14.678120859291237,7.8626313402277,12.848432405102676,11.685669047676999,11.039660087604405,11.752795011776945,12.276079681256547,11.492806080242865,13.134475183632711,15.212288892787438,11.073317510764236,11.54921377045305,11.496387125377584,10.521404005020207,11.901867726898715,9.70628021778944,10.9943352506658,10.503974167225154,10.036674703430872,9.211061636714831,11.38885787599113,11.439671701427716,10.35910791045298,12.740624032590706,12.404194430650577,12.667471358512085,11.216148730205452,10.376334809900628,10.927137701043295,10.32498941473339,10.550191066389823,10.739804620976034,11.357908255704071,11.434580283158502,13.355504013921903,10.9807066300317,12.694006650263203,11.635589735339517,10.827162728604414,10.770651700542027,14.508006844831554,10.340762629700096,11.202158508417401,12.52130918139997,11.24769784283379,10.75525872486279,10.063321610831698,10.638859506453509,13.380192044008849,11.410921969370026,12.462392737957362,11.303358946764925,12.992367723065877,11.039670201261407,13.046062402346212,12.015024393958887,12.768486842837023,11.670528134898,11.343292699316924,11.064352122580875,11.520362371821767,12.194356095531715,11.304389042293893,11.175957800010623,11.860782006795963,10.826555897117311,10.21485123815744,11.065159403880978,10.448094910557344,12.9140067273427,9.507366100083226,8.72921189089792,14.782770541537067,12.760330127228215,10.924390144565185,12.93840267120496,12.007995805014737,11.040423465649722,12.05445615437044,11.647032601677855,11.287414714532051,10.346349507570268,11.995764144331865,11.43095023970565,11.356109687775055,11.002341900830688,11.627703463901646,12.279018818400806,12.107793264212491,10.177950783592204,11.043986115098487,10.565220106595564,10.864726960922232,12.679085358329443,12.749422656129239,10.389642559558801,11.613269892237756,11.186982930820117,10.781879392655,13.135483382431707,11.4432438508324,8.699222754849037,13.041451458157416,10.538839147385692,13.581813808368599,9.706660072291376,10.49372388972678,9.991348308551574,13.439909884139247,10.935181173455453,11.65493189810735,11.248508179155381,11.367754917085659,11.855248242454687,10.549237013065623,13.229599830815976,12.798649873786973,12.287505500990415,12.027570574584866,11.716316258939715,12.960050270609234,9.79531308360722,10.094865406013056
2031,9.644297862830372,10.395210702620124,12.579340342594234,13.599696804647861,12.147750137130851,12.69370856856847,12.40272745660142,11.004422939261017,10.076935526671944,11.653488439386306,9.079071466608537,11.377163941445561,11.720633933725564,11.175588069321668,12.342052811108854,12.676845846049812,10.83718617892136,10.846887848987851,11.259888858048496,9.067388241179286,11.525302903483746,10.112460247463668,13.137415387384264,11.715302597589629,12.837682853655325,13.960318616874838,9.627046393311542,12.447688335188383,12.544716261489238,11.207063690313827,13.377295111832412,13.10236829810816,11.339830196199369,11.418116924929961,9.295292914197178,10.116568294353781,11.337398973334093,12.873180400094263,10.429198208386483,11.375927846716795,11.294784655470563,11.774227621357728,11.886629923914926,11.701706506812988,13.324746393639108,7.584530659181916,12.905847455172433,12.034290553819714,11.399797893088794,10.425089019148245,11.862298282268258,10.171295765544414,12.769541579212628,14.094911929057991,11.601500878839389,10.830463013571244,12.034427751908483,9.207004388105938,12.285058436206668,9.482890465013357,11.056810500555791,10.2832073652307,9.298474742383087,8.31331331185672,10.162071707132073,11.83578931588842,10.719230880555902,12.389968160863805,12.456456675153717,12.365334311338222,11.355176638001986,10.176389828486288,11.40798434297271,10.613973658795103,10.425305907169117,9.996429276369188,11.863294980124287,12.082219531233218,11.92432566246261,11.277064831684468,12.816370324960554,11.44895179480638,10.56091306925468,10.57993164729408,13.151547137809832,10.661192043400979,11.599828479487613,12.001206486202454,11.65417348358618,11.058755547132183,10.347444957365164,11.218936342746025,12.760139697595783,11.938927509697942,12.081360971717084,11.055892945469722,12.603734706407009,10.850055377282528,12.731054366444765,12.653785849111564,13.063145924116606,11.305574964327011,11.152606694918617,11.250275518886909,11.387630573757317,11.803693729736235,10.007335631662738,11.597258706212692,11.673235597939273,10.618142151962155,8.966651948513059,11.646151177585127,9.692493869477644,13.012905304846559,9.29152602774,7.764672338962554,13.914905292832334,12.856501812196296,11.419575090317627,12.597417945285208,11.547526795012148,11.287078654312571,12.249802255112195,10.404911418809842,11.859863876324635,10.745726160543123,11.810669765590047,10.937913236734659,11.707821397880176,10.368082414016778,11.709209369576499,12.813721487258112,11.761502239367239,9.442531269610575,10.3112841753856,10.21202965412775,11.237826076761374,12.762791125022849,12.771391348994296,10.687241483338017,12.17286672629416,11.592508409789806,11.169689198797723,12.73094738793114,10.67364390453567,8.285919004484363,12.699376104318583,9.781742425716443,13.194772832338582,8.955108601195011,9.690933172955464,10.276470180114975,12.975070654374104,10.572712572696416,12.240299207968237,11.806250850953484,11.81116155206995,11.664456485568184,10.355063191372096,12.843935004233021,12.249661376699805,11.859373956837738,11.631761803575184,12.317250500412905,13.075640256962059,9.57648459174063,9.380736110812943
2032,11.071517588327758,11.994011928205907,13.38337335848938,14.14145107372947,12.58886474435744,13.35021012276411,12.769770705019653,11.243251725707363,11.832601251161616,11.89559668954462,10.567489509956669,12.36525125335902,12.434426243376473,11.180652457734812,12.757070360988704,13.070536995630555,11.849829407935236,11.671197828290094,12.346492787661111,10.74850041686517,11.904992117020106,11.023873261216545,13.670406200477608,12.398263281049285,13.396550719342804,14.261770367622375,9.850120927166682,13.23802838944223,13.034027074990066,12.229603342064047,13.946363819844048,13.49517300757377,11.710823453314926,12.520620421951882,10.698993913424404,10.535497653581523,11.658158913963355,13.114504768310685,11.471550890983535,12.391818376298511,12.045037759386975,12.12427513074616,12.95326591072523,11.913894565735498,15.130142258561175,7.842608180059042,13.448018432959271,13.019403482220422,12.437102443012206,11.695270065704118,12.256153961886532,11.466675979449702,13.18522205219969,14.779108575504761,12.244616429928852,11.496233815630978,12.90924143645427,10.621713088967066,13.072131203892434,9.691506834781688,11.706232404579293,10.429494969911227,11.060566565750737,9.951969446857339,11.514315738140244,12.989517984182935,11.728561396930754,12.806584400327312,13.056005989727767,12.672147694813168,12.047993985855063,10.420904065259617,12.584286704011586,11.350607243083095,10.944229649784772,11.661898593863718,12.897958909363853,13.05169190676964,12.141383147272082,12.195465468518117,13.432818885406721,11.650973466427432,11.73972163187421,10.796640353034375,14.995936756548677,11.722946069486765,12.633668496070996,12.00255497990419,12.7454862912064,11.899351713136246,11.054479154879632,12.112116067305852,13.102743397426346,12.65217168936911,12.463320607764889,11.235778130024023,13.013318136820327,11.08602298958146,13.145776861630699,13.590520952058876,13.743879431453736,11.744226224072603,11.39085165476022,11.900575690943267,11.712380819670532,12.222293174785118,11.282082292696707,12.701512835919859,11.887892069538003,10.868853353287864,10.3701730084646,12.563673956562646,11.465198023973599,13.521241301427716,9.51757823789249,8.77989207264846,14.493129412117215,13.42939643100228,11.98599542580221,12.995542585606808,11.992107314584045,12.196147236487139,12.95452648514639,11.61671337096588,12.687549360298918,11.50601036133974,12.074423899631137,12.401614315321915,12.790566300163455,11.471074508584064,12.389894775960228,13.625588860119818,12.163734674170291,11.177902772131821,11.891679192407304,10.63094653108198,12.251228228211403,13.340769723543659,13.241175919771194,11.530776944497358,12.936589926886175,12.639372116845589,12.213807800217818,13.14342378144679,12.413256237364331,8.682467224076385,13.129352127728255,11.551268240355924,13.560051534324884,10.720073485180087,10.589186417991698,11.08337236325378,13.425409342607725,11.002051257082949,13.092123764606301,12.576496449056203,13.077230544841807,11.919878447347362,10.581661340821048,13.250948988108734,12.733805319537288,12.280980579878973,12.06424471217653,13.209060748148227,13.71115931690387,9.749874965490207,11.009355638014236
2033,9.802080880040712,10.416913797026096,11.659229544679755,13.871550192003667,11.822859487253366,12.574197031881498,11.778060816228392,10.167963073305462,10.310190533004377,10.77646476749088,9.457445474746438,10.737123139364567,10.839244024058724,10.38585332023871,11.721219148648824,12.041016608800579,10.262970380991217,10.234293506683212,10.63035635779733,9.325428942461377,10.896862065905466,9.792406774733383,13.019614940752156,10.862477008739246,12.4843845911648,13.833820213442266,8.773824141725253,11.608573422645746,12.473837489667144,10.53374842161556,13.66821047274963,12.709457387094915,10.686840912408153,10.770945885907047,9.67389534219451,9.523463210414933,10.525765620333996,12.33902348237841,10.118845834680226,10.724839893858073,10.55668705361693,11.086685220427489,11.206269316375257,10.81923312637145,14.87899474993996,6.516284483282464,12.747717744630318,11.364658129765933,10.747063435290173,10.585534754482545,11.210314349008161,10.385927356293669,12.291363935107773,14.456620975033102,10.648154228277829,10.475230608945306,11.143142456148306,9.574068027346032,11.730427090402532,8.509858105291169,10.374459443117857,9.128382363964036,9.527470402905479,8.558341693538038,10.502885315081347,11.201898659194779,10.117946128482407,11.92268700866059,12.3641105449718,11.655466069183921,10.626158625616336,9.350897094315808,10.689274244658327,10.010379799034284,9.772732512458509,10.218664620274112,11.068422095445188,11.088196504699146,12.208381228148939,10.630656297359128,12.675402000870395,10.50568497148545,10.363168696346493,9.716571908606133,14.718928808751313,10.03428163185068,10.863986404977094,11.089417961790513,10.926653332522385,10.44025597850914,9.76441947111617,10.327071119261825,12.193885462439578,11.015911465591715,11.466561064610012,9.967849343974631,12.133700226474067,10.021530723442204,12.357052302737113,11.656502828163948,12.61104803086947,10.803184902052518,10.321333400257256,10.458646980883634,10.577494901235461,11.23821903026217,10.240565410855671,10.85833298382552,10.785496009594725,9.805708857982053,9.314288052527804,10.76567683968207,9.925117691897833,12.959851407486457,8.429742527406907,7.725230430171867,14.23309547486513,12.74640997337258,10.49565486804299,12.180321676413655,10.894592991341721,10.610273812492583,11.813442289100395,10.580402835879635,10.916914306095116,9.862806712155757,11.005644616083773,10.923964053392412,11.102789878845218,10.24891239048346,11.020304414018502,11.994243244438067,11.239563280149646,9.668825808588577,10.501615249916266,9.661981056687301,10.54375450126827,12.683900101677231,12.644209747729098,10.072428319765175,11.231508926933873,10.838478079146672,10.474625079852084,12.14116516417783,10.902335936264336,7.545909492420435,12.318742419390574,10.012943266202578,12.582711814862233,9.180659987948554,9.554574376862984,9.739258168184238,12.768030945657067,10.012247012077793,11.270899239441622,10.822737761064555,11.108069587660873,10.856886216641769,9.472336170466054,12.282654618925372,12.076665620279053,11.201692930058295,11.221685159546523,11.389117281883955,12.952704222305961,8.609900458999308,9.57190777665085
2034,11.418714833324374,12.273869879791796,13.333455783841403,14.659145075949313,13.418576080190098,13.368620296859225,13.543727535916416,12.570076990386717,12.176016861329908,13.188481434218023,11.914248540187662,12.42500648615153,12.406577958320472,12.739752468126627,13.560734890077427,13.869779912026036,11.919771155585419,11.740104829487596,12.396197819839356,11.330192875602974,12.636043333321929,10.839574765899908,14.45790386912616,12.400733487680556,13.379254506334018,15.27929116542573,11.156374393921833,13.198094308052376,13.012501805939753,12.296889879052406,14.409393926029624,14.14641302532476,12.478445441664563,12.578941508722696,11.950214791880999,11.279739161710376,12.871484928197505,14.230296954512598,11.696284857457101,12.439973539551318,12.275277297700876,13.011722504282778,12.966537557542324,13.198043512787834,14.67224678526754,9.401156206493793,13.417971903863164,13.085688421745665,12.520920894513635,13.10223316466031,13.109571381798208,12.854647429943407,13.968005682463234,15.50232802562254,12.234567956351068,12.755489201973313,12.906815171160778,11.878173521557903,13.035714755887575,11.063758223601011,12.095338689386034,11.898567840052037,11.384353379030596,10.537888320567818,12.72066361833688,13.051240883929575,11.81438823092891,13.564369245391825,12.807193080692187,13.612906366627183,12.610656676571011,11.748284782404484,12.69696893008507,11.43460157448831,11.492364144155191,12.020145879491515,12.939785109994855,12.976972972812217,13.488904886919519,12.240370552743906,13.442808773125646,13.006121271978259,11.974644273519514,12.077614616278721,14.53824667503005,11.777457231048333,12.715259287182406,13.541684011280863,12.828508674420176,11.970034969889596,11.14029494446257,12.050922939796811,14.077430735463684,12.607055815827588,13.222585302008238,12.638211726818396,13.716717591752182,12.412341922683561,13.902084345402924,13.520694011903332,13.720729170286134,12.480313640249813,12.73671910895602,12.167684418776924,12.911845266616538,13.075626897853395,12.609509302546149,12.783886444673916,13.194569557419294,12.181590565115862,11.540589526619602,12.498418397715557,11.799187308015382,13.512086046778634,10.84210257357209,10.114024932131818,15.025689185961433,13.434581606486892,11.969960486759316,13.715973879980004,12.89615325710696,12.531140470553352,13.016913104923846,12.895680053078612,12.621612302796995,11.570452060064541,13.301694924011825,12.68383796059567,12.83279075230593,12.389733379301818,13.03841924655211,13.560295168796308,12.900716144571327,11.52244639691186,12.249040118378142,11.38122110557743,12.320306703002881,13.334297165274618,13.200281811149228,11.594671006435936,12.917133738813195,12.711614437036864,12.27425847611512,13.942624403730683,12.767711757743005,10.051147935284387,13.932573453239772,11.892699706368154,14.313012932305753,11.048666876123248,11.85224180927743,11.163515008014183,14.126282632350922,11.753197384685654,13.011819122926054,12.522820991990361,13.156632926558023,13.270299270425154,11.878039474558571,14.025514440691989,13.386683290419374,13.143247961350115,12.784078834801102,13.141609168409005,13.716153164596664,11.077023201176655,11.390734703644465
2035,10.52765679748162,11.244524365210015,12.778980488539675,14.70628764318383,13.102760019995596,13.716260708382604,13.36974944109502,11.572640700351814,11.120086345983593,12.278032943930315,10.756031873919397,11.581777488488871,11.88631317950785,12.085987438650237,13.346282443537826,13.686784531313764,11.010286913617799,11.012634226809379,11.492106899376148,10.267148024200099,12.51663868631358,10.534306482128473,14.295999475147418,11.854341291539047,13.422679180603312,15.265717397565426,10.190125045892989,12.657384311051468,13.2553020288115,11.409943609295983,14.518406591985539,13.970028022547131,12.286406681832412,11.626905480217518,10.873660318573693,11.173676000989001,11.864546227410596,14.130936727413669,10.907768616209859,11.582886379374113,11.83192179425944,12.695435708712626,12.151851246376406,12.260535418663338,14.715002339819204,8.272119599030072,13.7284919820402,12.300975694361592,11.60377564945299,11.867531289387006,12.882958545956923,11.673035545841504,13.738337351090237,15.61263117607197,11.735183317376222,11.769096301220683,12.234660887604825,10.786806504120642,12.87347584761396,10.058952975086866,11.721585071200264,10.825337036330579,10.331633314976223,9.489212322980167,11.661202306697234,12.074795371326418,10.896929992281873,13.348245137573585,13.14759456333907,13.196931266266366,11.68685189375411,10.751247346401218,11.602749662392814,10.762318011211313,11.289136039498063,10.99825496923017,12.062583181197226,12.360796804661334,13.771283908382706,11.477627126338044,13.778926485218106,12.004803080638144,11.14776262650064,11.135843991666384,14.554551502932668,10.869623592771267,11.786039900844514,12.8359107674383,11.849350363178099,11.24334269438101,10.480278444031013,11.480053607455414,13.969797033330664,12.09260000065779,13.066789660521824,11.684988375348244,13.523802779290987,11.4149207778518,13.648861583322285,12.904769444595212,13.654886689603973,12.291902690113565,11.71965064645907,11.824534664011525,11.919604357979868,12.825051771557852,11.473047893980276,11.786022192758063,12.227498104876798,11.187600147181557,10.474311886274297,11.895965810379256,10.73767050043882,13.79256794407316,9.86347323348341,9.042208966029728,15.096991564916527,13.707600153658706,11.533314957566882,13.514274889360307,12.634577951758455,11.593937544395096,12.89100835618118,11.778005034865242,12.086242346639708,11.155113664455712,12.420950571803942,11.746868902898356,11.943058937302101,11.365002493252575,12.11628751926448,13.036516064117444,12.726972709207434,10.462374797880486,11.279012615104081,11.236743345370764,11.420485170153176,13.59059666291527,13.423140840685885,10.84649192177407,12.338783035945635,11.780210644006731,11.346328119949803,13.734894193222988,11.716046181547904,9.043997402788829,13.655421241955912,10.827590625328213,14.150077101329103,9.996131960140621,10.82086181729202,10.418491112959128,13.971871966253156,11.607016940479696,12.462912822385194,11.993740051741833,12.056605552120704,12.243075055414408,10.917857526194144,13.825069352498526,13.298388461035723,12.922166761334825,12.630057828581855,12.561183814850192,14.039166325257852,10.130526405010048,10.374925917257434
