농업기상관측자료 다운로드(일 자료),,,,,,,,
도명,지점명,날짜,기온,최고기온,최저기온,습도,풍속,일사량
전북특별자치도,완주군 이서면,2024-01-01,4.1,8.9,-1.8,79.2,0.5,9.3
전북특별자치도,완주군 이서면,2024-01-02,4.8,7.8,2.5,78.6,0.7,3.7
전북특별자치도,완주군 이서면,2024-01-03,3.3,6.9,-2,83.1,1,5.3
전북특별자치도,완주군 이서면,2024-01-04,1.4,7.9,-4.6,77.3,0.9,11.3
전북특별자치도,완주군 이서면,2024-01-05,6.2,10,0.6,78.1,1,3.9
전북특별자치도,완주군 이서면,2024-01-06,1.2,6.7,-3.7,78.1,0.6,11.8
전북특별자치도,완주군 이서면,2024-01-07,-0.8,2.8,-6.3,67.7,1.6,10.9
전북특별자치도,완주군 이서면,2024-01-08,-3.9,1.7,-9,63.6,0.6,12.9
전북특별자치도,완주군 이서면,2024-01-09,2.7,7.2,-2.8,72.2,1.1,3.2
전북특별자치도,완주군 이서면,2024-01-10,0.8,4.2,-4.4,83.1,0.8,9.2
전북특별자치도,완주군 이서면,2024-01-11,1.9,6.4,-4.8,75,1.4,7.1
전북특별자치도,완주군 이서면,2024-01-12,3.6,8.6,-3.9,70.6,0.9,10.8
전북특별자치도,완주군 이서면,2024-01-13,-0.4,6.9,-6.2,70.6,0.6,12.4
전북특별자치도,완주군 이서면,2024-01-14,3.1,13,-5.2,81,1.3,7.9
전북특별자치도,완주군 이서면,2024-01-15,-0.8,3.5,-5.3,63.4,1.2,12.9
전북특별자치도,완주군 이서면,2024-01-16,-2,4.5,-8,67.2,0.5,12.7
전북특별자치도,완주군 이서면,2024-01-17,4.1,9,-1.4,82.3,0.4,2.3
전북특별자치도,완주군 이서면,2024-01-18,7.1,9.5,5.6,92.8,0.5,1.9
전북특별자치도,완주군 이서면,2024-01-19,7.9,10.7,5.5,72.5,1.7,5.2
전북특별자치도,완주군 이서면,2024-01-20,6.1,8.1,4.6,82.9,2.1,1.5
전북특별자치도,완주군 이서면,2024-01-21,4.5,8.5,1.3,84.1,1.1,6.6
전북특별자치도,완주군 이서면,2024-01-22,-3.2,1.4,-6.3,69.6,3,6.9
