latitude,longitude,Slope
33.18,126.275,0
33.2,126.265,0.003259531
33.2,126.275,0.009248029
33.2,126.285,0.134390384
33.2,126.295,0.098423414
33.21,126.265,0.012604418
33.21,126.275,0.001074507
33.21,126.285,0.012249906
33.21,126.295,0.000173593
33.21,126.315,0.008471366
33.22,126.245,0.006102784
33.22,126.255,0.011486012
33.22,126.265,0.002832549
33.22,126.275,0.011317959
33.22,126.285,0.009752243
33.22,126.295,0.010875057
33.22,126.315,0
33.22,126.515,0.077958085
33.23,126.235,7.11E-05
33.23,126.245,0.011167504
33.23,126.255,0.012529551
33.23,126.265,0.009722413
33.23,126.275,0.004731314
33.23,126.285,0.017569037
33.23,126.295,0.008465257
33.23,126.305,0.001100889
33.23,126.465,0.008069853
33.23,126.475,0.023229582
33.23,126.485,0.020347543
33.23,126.495,0.000672797
33.23,126.565,0
33.23,126.595,0
33.23,126.605,0.005934326
33.23,126.655,0
33.24,126.225,0.001564813
33.24,126.235,0.005055889
33.24,126.245,0.020131581
33.24,126.255,0.111574523
33.24,126.265,0.073692963
33.24,126.275,0.001492656
33.24,126.285,0.082294032
33.24,126.295,0.032846432
33.24,126.305,0.052327245
33.24,126.315,0.481849313
33.24,126.325,0.032053553
33.24,126.335,0.010848573
33.24,126.345,0.084579319
33.24,126.355,0.031693701
33.24,126.365,0.025998099
33.24,126.375,0.010134249
33.24,126.385,0.023593497
33.24,126.395,0.057698552
33.24,126.425,0.018327897
33.24,126.435,0.042014107
33.24,126.445,0.033566505
33.24,126.455,0.068937846
33.24,126.465,0.03486082
33.24,126.475,0.022951575
33.24,126.485,0.030278081
33.24,126.495,0.01158211
33.24,126.505,0.009649251
33.24,126.515,0.045651969
33.24,126.525,0.050749592
33.24,126.535,0.083944246
33.24,126.545,0.08513394
33.24,126.555,0.171005443
33.24,126.565,0.026980184
33.24,126.575,0
33.24,126.595,0.026973289
33.24,126.605,0.015746536
33.25,126.195,0.002177217
33.25,126.205,0.017792124
33.25,126.215,0.015842622
33.25,126.225,0.006787585
33.25,126.235,0.011768205
33.25,126.245,0.028153012
33.25,126.255,0.026609747
33.25,126.265,0.003118057
33.25,126.275,0.007050037
33.25,126.285,0.003117162
33.25,126.295,0.017121173
33.25,126.305,0.01163603
33.25,126.315,0.022624841
33.25,126.325,0.01903264
33.25,126.335,0.017153688
33.25,126.345,0.024353439
33.25,126.355,0.017121688
33.25,126.365,0.168164119
33.25,126.375,0.14598614
33.25,126.385,0.018632559
33.25,126.395,0.032335669
33.25,126.405,0.051911678
33.25,126.415,0.090195939
33.25,126.425,0.018920802
33.25,126.435,0.02029624
33.25,126.445,0.010781284
33.25,126.455,0.030321021
33.25,126.465,0.02151324
33.25,126.475,0.017101601
33.25,126.485,0.014143193
33.25,126.495,0.014672591
33.25,126.505,0.022432923
33.25,126.515,0.034071252
33.25,126.525,0.056755919
33.25,126.535,0.04491755
33.25,126.545,0.012971117
33.25,126.555,0.027774571
33.25,126.565,0.014977472
33.25,126.575,0.026297223
33.25,126.585,0.059039488
33.25,126.595,0.010099293
33.25,126.605,0.018274432
33.25,126.615,0.003763713
33.25,126.625,0.000135373
33.26,126.185,0.012280086
33.26,126.195,0.016574722
33.26,126.205,0.011709075
33.26,126.215,0.004498146
33.26,126.225,0.011718712
33.26,126.235,0.010865088
33.26,126.245,0.007003377
33.26,126.255,0.006055487
33.26,126.265,0.006730262
33.26,126.275,0.008255072
33.26,126.285,0.015559348
33.26,126.295,0.003785875
33.26,126.305,0.008795816
33.26,126.315,0.016793568
33.26,126.325,0.011149721
33.26,126.335,0.019731004
33.26,126.345,0.0209042
33.26,126.355,0.016826347
33.26,126.365,0.00525876
33.26,126.375,0.055804282
33.26,126.385,0.042249914
33.26,126.395,0.049608167
33.26,126.405,0.026784096
33.26,126.415,0.021377087
33.26,126.425,0.02445386
33.26,126.435,0.022315497
33.26,126.445,0.024385739
33.26,126.455,0.03349613
33.26,126.465,0.01266864
33.26,126.475,0.039454408
33.26,126.485,0.036909577
33.26,126.495,0.066510469
33.26,126.505,0.072401553
33.26,126.515,0.056625437
33.26,126.525,0.056415476
33.26,126.535,0.031440839
33.26,126.545,0.044759598
33.26,126.555,0.009434197
33.26,126.565,0.00983137
33.26,126.575,0.01402649
33.26,126.585,0.015347987
33.26,126.595,0.013536049
33.26,126.605,0.026877778
33.26,126.615,0.011954124
33.26,126.625,0.016196392
33.26,126.635,0.014434085
33.26,126.645,0
33.27,126.175,0.014049492
33.27,126.185,0.004437336
33.27,126.195,0.020929236
33.27,126.205,0.016869223
33.27,126.215,0.011278764
33.27,126.225,0.01493254
33.27,126.235,0.01617082
33.27,126.245,0.012609372
33.27,126.255,0.010316554
33.27,126.265,0.006403362
33.27,126.275,0.019370554
33.27,126.285,0.014158553
33.27,126.295,0.007668935
33.27,126.305,0.029510029
33.27,126.315,0.024671696
33.27,126.325,0.023401646
33.27,126.335,0.029990815
33.27,126.345,0.026360322
33.27,126.355,0.010289758
33.27,126.365,0.007908161
33.27,126.375,0.017434407
33.27,126.385,0.012785504
33.27,126.395,0.046128478
33.27,126.405,0.063459441
33.27,126.415,0.035050914
33.27,126.425,0.030569684
33.27,126.435,0.056804176
33.27,126.445,0.042744361
33.27,126.455,0.022955742
33.27,126.465,0.031473324
33.27,126.475,0.017825665
33.27,126.485,0.049051858
33.27,126.495,0.086724512
33.27,126.505,0.052463699
33.27,126.515,0.06917692
33.27,126.525,0.031359807
33.27,126.535,0.01971942
33.27,126.545,0.088160373
33.27,126.555,0.033730935
33.27,126.565,0.089032181
33.27,126.575,0.027039954
33.27,126.585,0.012648439
33.27,126.595,0.014099991
33.27,126.605,0.062069573
33.27,126.615,0.014111271
33.27,126.625,0.019016637
33.27,126.635,0.021699622
33.27,126.645,0.033868954
33.27,126.655,0.01960244
33.27,126.665,0.019707473
33.27,126.675,0.023053546
33.27,126.685,0.020786326
33.27,126.695,0.027260074
33.28,126.165,0
33.28,126.175,0.008289538
33.28,126.185,0.016952133
33.28,126.195,0.038630582
33.28,126.205,0.001036123
33.28,126.215,0.013906079
33.28,126.225,0.004963012
33.28,126.235,0.012516631
33.28,126.245,0.014678836
33.28,126.255,0.013923156
33.28,126.265,0.021771582
33.28,126.275,0.011146192
33.28,126.285,0.010131205
33.28,126.295,0.010891004
33.28,126.305,0.025222445
33.28,126.315,0.041096162
33.28,126.325,0.036805473
33.28,126.335,0.030420186
33.28,126.345,0.019262401
33.28,126.355,0.017574489
33.28,126.365,0.017996581
33.28,126.375,0.05263862
33.28,126.385,0.03019445
33.28,126.395,0.00326206
33.28,126.405,0.021896463
33.28,126.415,0.057892669
33.28,126.425,0.060325578
33.28,126.435,0.05502056
33.28,126.445,0.047346205
33.28,126.455,0.048690949
33.28,126.465,0.058295064
33.28,126.475,0.061913233
33.28,126.485,0.081236713
33.28,126.495,0.028888864
33.28,126.505,0.05401437
33.28,126.515,0.034273412
33.28,126.525,0.025234241
33.28,126.535,0.055690855
33.28,126.545,0.042013183
33.28,126.555,0.046993796
33.28,126.565,0.039359521
33.28,126.575,0.036535513
33.28,126.585,0.087821998
33.28,126.595,0.036546219
33.28,126.605,0.07102856
33.28,126.615,0.027245887
33.28,126.625,0.017018151
33.28,126.635,0.031048365
33.28,126.645,0.01465975
33.28,126.655,0.030688936
33.28,126.665,0.044155136
33.28,126.675,0.02592572
33.28,126.685,0.026607227
33.28,126.695,0.025713446
33.28,126.705,0.009092149
33.28,126.715,0.018218644
33.28,126.725,0.009378879
33.28,126.735,0.005199456
33.28,126.745,0.015180972
33.29,126.165,0.028457554
33.29,126.175,0.006157187
33.29,126.185,0.011356324
33.29,126.195,0.005498119
33.29,126.205,0.009687911
33.29,126.215,0.015376321
33.29,126.225,0.033349145
33.29,126.235,0.02567438
33.29,126.245,0.007674776
33.29,126.255,0.005322211
33.29,126.265,0.00547682
33.29,126.275,0.030614845
33.29,126.285,0.020390533
33.29,126.295,0.02123354
33.29,126.305,0.017244158
33.29,126.315,0.107092015
33.29,126.325,0.014080189
33.29,126.335,0.017720418
33.29,126.345,0.022872569
33.29,126.355,0.029350504
33.29,126.365,0.04223565
33.29,126.375,0.032594655
33.29,126.385,0.027419364
33.29,126.395,0.047270745
33.29,126.405,0.052818548
33.29,126.415,0.063504755
33.29,126.425,0.070203535
33.29,126.435,0.073525473
33.29,126.445,0.066771626
33.29,126.455,0.069196247
33.29,126.465,0.061323114
33.29,126.475,0.083677471
33.29,126.485,0.081935845
33.29,126.495,0.086245231
33.29,126.505,0.059626788
33.29,126.515,0.063303456
33.29,126.525,0.034360915
33.29,126.535,0.036851991
33.29,126.545,0.062238194
33.29,126.555,0.040005721
33.29,126.565,0.050966337
33.29,126.575,0.028532183
33.29,126.585,0.032536581
33.29,126.595,0.017715819
33.29,126.605,0.018316403
33.29,126.615,0.008145816
33.29,126.625,0.015920827
33.29,126.635,0.028086342
33.29,126.645,0.052448079
33.29,126.655,0.021792512
33.29,126.665,0.031606503
33.29,126.675,0.018544188
33.29,126.685,0.024164563
33.29,126.695,0.025719929
33.29,126.705,0.027868001
33.29,126.715,0.019963702
33.29,126.725,0.014809225
33.29,126.735,0.009380178
33.29,126.745,0.00797439
33.29,126.755,0.005057961
33.3,126.165,0
33.3,126.175,0.005717607
33.3,126.185,0.003932485
33.3,126.195,0.014756386
33.3,126.205,0.010948214
33.3,126.215,0.037721518
33.3,126.225,0.014912646
33.3,126.235,0.026135605
33.3,126.245,0.028618027
33.3,126.255,0.011811533
33.3,126.265,0.009649926
33.3,126.275,0.007164125
33.3,126.285,0.010104308
33.3,126.295,0.009708637
33.3,126.305,0.018389409
33.3,126.315,0.061770212
33.3,126.325,0.029465767
33.3,126.335,0.038708061
33.3,126.345,0.027586114
33.3,126.355,0.030002443
33.3,126.365,0.04733362
33.3,126.375,0.033328164
33.3,126.385,0.021569658
33.3,126.395,0.035029024
33.3,126.405,0.048168186
33.3,126.415,0.086536855
33.3,126.425,0.042193118
33.3,126.435,0.06144863
33.3,126.445,0.059288427
33.3,126.455,0.04661509
33.3,126.465,0.034976963
33.3,126.475,0.090180352
33.3,126.485,0.07388033
33.3,126.495,0.092848085
33.3,126.505,0.090361841
33.3,126.515,0.119706742
33.3,126.525,0.092175238
33.3,126.535,0.126210064
33.3,126.545,0.032379519
33.3,126.555,0.138934299
33.3,126.565,0.055645976
33.3,126.575,0.05107253
33.3,126.585,0.055993024
33.3,126.595,0.051444903
33.3,126.605,0.025900548
33.3,126.615,0.026141249
33.3,126.625,0.021736769
33.3,126.635,0.038865194
33.3,126.645,0.020345129
33.3,126.655,0.047133312
33.3,126.665,0.021517662
33.3,126.675,0.052295934
33.3,126.685,0.027784383
33.3,126.695,0.027461419
33.3,126.705,0.043749947
33.3,126.715,0.010135361
33.3,126.725,0.011750406
33.3,126.735,0.011343804
33.3,126.745,0.006621084
33.3,126.755,0.010805168
33.3,126.765,0.011330968
33.31,126.145,0.056428973
33.31,126.155,0.004389354
33.31,126.165,0.094471827
33.31,126.175,0.121681906
33.31,126.185,0.006271756
33.31,126.195,0.01131492
33.31,126.205,0.011725446
33.31,126.215,0.00478781
33.31,126.225,0.013112852
33.31,126.235,0.019537229
33.31,126.245,0.020930579
33.31,126.255,0.015728094
33.31,126.265,0.009596743
33.31,126.275,0.003863807
33.31,126.285,0.029399984
33.31,126.295,0.043235078
33.31,126.305,0.199185759
33.31,126.315,0.032109812
33.31,126.325,0.018950835
33.31,126.335,0.037949037
33.31,126.345,0.035243642
33.31,126.355,0.055484902
33.31,126.365,0.02528435
33.31,126.375,0.094061524
33.31,126.385,0.04358273
33.31,126.395,0.036418308
33.31,126.405,0.041173622
33.31,126.415,0.058277607
33.31,126.425,0.059992846
33.31,126.435,0.050464652
33.31,126.445,0.048471227
33.31,126.455,0.081835344
33.31,126.465,0.095530376
33.31,126.475,0.090050109
33.31,126.485,0.070767187
33.31,126.495,0.100221626
33.31,126.505,0.114997186
33.31,126.515,0.099443294
33.31,126.525,0.077685274
33.31,126.535,0.076698758
33.31,126.545,0.043350901
33.31,126.555,0.06616959
33.31,126.565,0.096114159
33.31,126.575,0.096735343
33.31,126.585,0.083165206
33.31,126.595,0.046233848
33.31,126.605,0.064310901
33.31,126.615,0.029741243
33.31,126.625,0.039036077
33.31,126.635,0.015078526
33.31,126.645,0.030366898
33.31,126.655,0.032148398
33.31,126.665,0.026809132
33.31,126.675,0.019623946
33.31,126.685,0.018525496
33.31,126.695,0.006028205
33.31,126.705,0.007769756
33.31,126.715,0.011678642
33.31,126.725,0.013735053
33.31,126.735,0.015671391
33.31,126.745,0.01566449
